subset,model,range,cut,precision,valid_values,total_values
eval2_natural,marinfold-cw-p06-cool-step290400,short,AUC,0.912243337718551,78,78
eval2_natural,marinfold-cw-p06-cool-step290400,short,L,0.10588099943981355,78,78
eval2_natural,marinfold-cw-p06-cool-step290400,short,L/2,0.1853846582340187,78,78
eval2_natural,marinfold-cw-p06-cool-step290400,short,L/5,0.35874864987806915,78,78
eval2_natural,marinfold-cw-p06-cool-step290400,short,R,0.4635338107980161,78,78
eval2_30,marinfold-cw-p06-cool-step290400,all,AUC,0.9322449810386794,275,275
eval2_30,marinfold-cw-p06-cool-step290400,all,L,0.47698759597911083,275,275
eval2_30,marinfold-cw-p06-cool-step290400,all,L/2,0.6374805051616134,275,275
eval2_30,marinfold-cw-p06-cool-step290400,all,L/5,0.7631873266282487,275,275
eval2_30,marinfold-cw-p06-cool-step290400,all,R,0.5503397076814651,275,275
eval2_30,marinfold-cw-p06-cool-step290400,long,AUC,0.914017598011829,274,275
eval2_30,marinfold-cw-p06-cool-step290400,long,L,0.3242301421405877,275,275
eval2_30,marinfold-cw-p06-cool-step290400,long,L/2,0.48453828803661675,275,275
eval2_30,marinfold-cw-p06-cool-step290400,long,L/5,0.6182369318715326,275,275
eval2_30,marinfold-cw-p06-cool-step290400,long,R,0.48961215597421104,274,275
eval2_30,marinfold-cw-p06-cool-step290400,medium,AUC,0.9625771921650135,274,275
eval2_30,marinfold-cw-p06-cool-step290400,medium,L,0.1600452966532866,275,275
eval2_30,marinfold-cw-p06-cool-step290400,medium,L/2,0.2984630194272991,275,275
eval2_30,marinfold-cw-p06-cool-step290400,medium,L/5,0.5823760561772701,275,275
eval2_30,marinfold-cw-p06-cool-step290400,medium,R,0.6362660376164744,274,275
eval2_30,marinfold-cw-p06-cool-step290400,short,AUC,0.9616953845388087,275,275
eval2_30,marinfold-cw-p06-cool-step290400,short,L,0.10027418440205976,275,275
eval2_30,marinfold-cw-p06-cool-step290400,short,L/2,0.18979918400424897,275,275
eval2_30,marinfold-cw-p06-cool-step290400,short,L/5,0.3985142664296736,275,275
eval2_30,marinfold-cw-p06-cool-step290400,short,R,0.6432446432638163,275,275
eval2_natural_30,marinfold-cw-p06-cool-step290400,all,AUC,0.8567908226577315,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,all,L,0.2759519869384765,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,all,L/2,0.3879515749967105,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,all,L/5,0.5381199225995859,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,all,R,0.32016620472401514,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,long,AUC,0.8252230527533869,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,long,L,0.17674748457411885,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,long,L/2,0.24763650530009254,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,long,L/5,0.3399523313629615,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,long,R,0.2538178429644279,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,medium,AUC,0.8973840643526403,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,medium,L,0.11539119578652776,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,medium,L/2,0.19099954151509366,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,medium,L/5,0.32798023212208255,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,medium,R,0.37674018219219774,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,short,AUC,0.9069769043473004,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,short,L,0.10295527835345528,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,short,L/2,0.17843176766439658,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,short,L/5,0.3375146526998683,61,61
eval2_natural_30,marinfold-cw-p06-cool-step290400,short,R,0.43835871041619384,61,61
