subset,model,range,cut,precision,valid_values,total_values
legacy_554,marinfold-exp232-decontam-train-m2-p06-step363000,medium,L/5,0.6160473603680235,554,554
legacy_554,marinfold-exp232-decontam-train-m2-p06-step363000,medium,R,0.6565019838031871,553,554
legacy_554,marinfold-exp232-decontam-train-m2-p06-step363000,short,AUC,0.9675763269155164,554,554
legacy_554,marinfold-exp232-decontam-train-m2-p06-step363000,short,L,0.11957676164679149,554,554
legacy_554,marinfold-exp232-decontam-train-m2-p06-step363000,short,L/2,0.22852958955907846,554,554
legacy_554,marinfold-exp232-decontam-train-m2-p06-step363000,short,L/5,0.4791461840515682,554,554
legacy_554,marinfold-exp232-decontam-train-m2-p06-step363000,short,R,0.6740394351762081,554,554
eval-val,marinfold-e8-reference-step35679,all,AUC,0.8250342243399018,97,97
eval-val,marinfold-e8-reference-step35679,all,L,0.22748410937232777,97,97
eval-val,marinfold-e8-reference-step35679,all,L/2,0.314553246686714,97,97
eval-val,marinfold-e8-reference-step35679,all,L/5,0.4310630955262722,97,97
eval-val,marinfold-e8-reference-step35679,all,R,0.24297973607670265,97,97
eval-val,marinfold-e8-reference-step35679,long,AUC,0.7913801811332883,97,97
eval-val,marinfold-e8-reference-step35679,long,L,0.1538797856486591,97,97
eval-val,marinfold-e8-reference-step35679,long,L/2,0.21719651870666445,97,97
eval-val,marinfold-e8-reference-step35679,long,L/5,0.3085009030135271,97,97
eval-val,marinfold-e8-reference-step35679,long,R,0.20209367490904326,97,97
eval-val,marinfold-e8-reference-step35679,medium,AUC,0.8689747060089366,97,97
eval-val,marinfold-e8-reference-step35679,medium,L,0.10314351066345462,97,97
eval-val,marinfold-e8-reference-step35679,medium,L/2,0.15618356583969123,97,97
eval-val,marinfold-e8-reference-step35679,medium,L/5,0.24731639584406429,97,97
eval-val,marinfold-e8-reference-step35679,medium,R,0.2632984260597396,97,97
eval-val,marinfold-e8-reference-step35679,short,AUC,0.8889793271984363,97,97
eval-val,marinfold-e8-reference-step35679,short,L,0.09824599120673767,97,97
eval-val,marinfold-e8-reference-step35679,short,L/2,0.15580291695080267,97,97
eval-val,marinfold-e8-reference-step35679,short,L/5,0.28341370957352197,97,97
eval-val,marinfold-e8-reference-step35679,short,R,0.34890818545329644,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,all,AUC,0.9363673238898071,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,all,L,0.5220509574938452,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,all,L/2,0.7003734650841085,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,all,L/5,0.8133890307706062,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,all,R,0.551707093687298,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,long,AUC,0.9234580326146586,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,long,L,0.3921579289939129,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,long,L/2,0.5857486365106738,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,long,L/5,0.7527641765981099,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,long,R,0.5359090671747445,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,medium,AUC,0.9542833095686941,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,medium,L,0.14599576683707585,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,medium,L/2,0.2666723759524221,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,medium,L/5,0.5020778239090552,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,medium,R,0.5555741663528002,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,short,AUC,0.9525129543747217,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,short,L,0.1154635045899118,97,97
eval-val,marinfold-exp232-decontam-train-m2-p06-step363000,short,L/2,0.21314221912853018,97,97
