model,mode,predictor,range,cut,mean_precision
marinfold-contacts-v1,single_seq,lm,long,L/5,0.3506872253130969
marinfold-contacts-v1,single_seq,lm,long,R,0.26949485012347063
marinfold-contacts-v1,single_seq,lm,medium,AUC,0.9253496902546409
marinfold-contacts-v1,single_seq,lm,medium,L,0.14736091531399487
marinfold-contacts-v1,single_seq,lm,medium,L/2,0.23625255027487121
marinfold-contacts-v1,single_seq,lm,medium,L/5,0.36994674729993043
marinfold-contacts-v1,single_seq,lm,medium,R,0.3785666997850277
marinfold-contacts-v1,single_seq,lm,short,AUC,0.9437122210730748
marinfold-contacts-v1,single_seq,lm,short,L,0.11227654712858158
marinfold-contacts-v1,single_seq,lm,short,L/2,0.19546579660364177
marinfold-contacts-v1,single_seq,lm,short,L/5,0.35298028764095707
marinfold-contacts-v1,single_seq,lm,short,R,0.48319949979187815
marinfold-cv1-e1,single_seq,lm,all,AUC,0.63593761110915
marinfold-cv1-e1,single_seq,lm,all,L,0.027902424202425728
marinfold-cv1-e1,single_seq,lm,all,L/2,0.02791974298801713
marinfold-cv1-e1,single_seq,lm,all,L/5,0.027851158970297083
marinfold-cv1-e1,single_seq,lm,all,R,0.028027315979668094
marinfold-cv1-e1,single_seq,lm,long,AUC,0.6147126641787914
marinfold-cv1-e1,single_seq,lm,long,L,0.021107735967268088
marinfold-cv1-e1,single_seq,lm,long,L/2,0.02194268434906454
marinfold-cv1-e1,single_seq,lm,long,L/5,0.01945931313488374
marinfold-cv1-e1,single_seq,lm,long,R,0.021764237476370983
marinfold-cv1-e1,single_seq,lm,medium,AUC,0.5300618639981243
marinfold-cv1-e1,single_seq,lm,medium,L,0.022514391688644175
marinfold-cv1-e1,single_seq,lm,medium,L/2,0.0226462546090936
marinfold-cv1-e1,single_seq,lm,medium,L/5,0.023915950434523256
marinfold-cv1-e1,single_seq,lm,medium,R,0.02383467536131204
marinfold-cv1-e1,single_seq,lm,short,AUC,0.5507702034234262
marinfold-cv1-e1,single_seq,lm,short,L,0.026474489569222364
marinfold-cv1-e1,single_seq,lm,short,L/2,0.02647605195985832
marinfold-cv1-e1,single_seq,lm,short,L/5,0.027164723836694517
marinfold-cv1-e1,single_seq,lm,short,R,0.026052374455793052
marinfold-cv1-e2,single_seq,lm,all,AUC,0.640296182150119
marinfold-cv1-e2,single_seq,lm,all,L,0.028721924077237438
marinfold-cv1-e2,single_seq,lm,all,L/2,0.029058619163920878
marinfold-cv1-e2,single_seq,lm,all,L/5,0.03133931379300267
marinfold-cv1-e2,single_seq,lm,all,R,0.028979847845458255
marinfold-cv1-e2,single_seq,lm,long,AUC,0.6229262086227588
marinfold-cv1-e2,single_seq,lm,long,L,0.021995812557890265
marinfold-cv1-e2,single_seq,lm,long,L/2,0.022802697082915914
marinfold-cv1-e2,single_seq,lm,long,L/5,0.025308796023581555
marinfold-cv1-e2,single_seq,lm,long,R,0.023706696049717577
marinfold-cv1-e2,single_seq,lm,medium,AUC,0.5253430452097106
marinfold-cv1-e2,single_seq,lm,medium,L,0.02186887781638768
marinfold-cv1-e2,single_seq,lm,medium,L/2,0.02188294554217462
marinfold-cv1-e2,single_seq,lm,medium,L/5,0.02302025711649463
marinfold-cv1-e2,single_seq,lm,medium,R,0.023266735035003865
marinfold-cv1-e2,single_seq,lm,short,AUC,0.5670742378883397
marinfold-cv1-e2,single_seq,lm,short,L,0.02790004682770775
marinfold-cv1-e2,single_seq,lm,short,L/2,0.02830112345314458
marinfold-cv1-e2,single_seq,lm,short,L/5,0.030161676996310543
marinfold-cv1-e2,single_seq,lm,short,R,0.03133357533380689
marinfold-cv1-e4,single_seq,lm,all,AUC,0.6398574192255441
marinfold-cv1-e4,single_seq,lm,all,L,0.03132234794129355
marinfold-cv1-e4,single_seq,lm,all,L/2,0.03150961259228031
marinfold-cv1-e4,single_seq,lm,all,L/5,0.03203091832650954
marinfold-cv1-e4,single_seq,lm,all,R,0.030677449140410845
marinfold-cv1-e4,single_seq,lm,long,AUC,0.6201650334494211
marinfold-cv1-e4,single_seq,lm,long,L,0.022847369229504304
marinfold-cv1-e4,single_seq,lm,long,L/2,0.02326073255886304
marinfold-cv1-e4,single_seq,lm,long,L/5,0.023025329586780646
marinfold-cv1-e4,single_seq,lm,long,R,0.02327539507601788
marinfold-cv1-e4,single_seq,lm,medium,AUC,0.5282157113042039
marinfold-cv1-e4,single_seq,lm,medium,L,0.023413461370729007
marinfold-cv1-e4,single_seq,lm,medium,L/2,0.024565178353517535
marinfold-cv1-e4,single_seq,lm,medium,L/5,0.024979524929167076
marinfold-cv1-e4,single_seq,lm,medium,R,0.025160914623437666
marinfold-cv1-e4,single_seq,lm,short,AUC,0.5700811389744417
marinfold-cv1-e4,single_seq,lm,short,L,0.028641808685440636
marinfold-cv1-e4,single_seq,lm,short,L/2,0.028647403611601067
marinfold-cv1-e4,single_seq,lm,short,L/5,0.029568993194091925
marinfold-cv1-e4,single_seq,lm,short,R,0.030085407647233556
marinfold-cv1-ens10,single_seq,lm,all,AUC,0.9173270082944609
marinfold-cv1-ens10,single_seq,lm,all,L,0.340868826101657
marinfold-cv1-ens10,single_seq,lm,all,L/2,0.45272526132241075
marinfold-cv1-ens10,single_seq,lm,all,L/5,0.5769669816875447
marinfold-cv1-ens10,single_seq,lm,all,R,0.3755947746835365
marinfold-cv1-ens10,single_seq,lm,long,AUC,0.89901146788444
marinfold-cv1-ens10,single_seq,lm,long,L,0.20897006609179225
marinfold-cv1-ens10,single_seq,lm,long,L/2,0.31156449746949727
marinfold-cv1-ens10,single_seq,lm,long,L/5,0.41512646911903717
marinfold-cv1-ens10,single_seq,lm,long,R,0.3148603586576674
marinfold-cv1-ens10,single_seq,lm,medium,AUC,0.9393587195807908
marinfold-cv1-ens10,single_seq,lm,medium,L,0.15467573977422616
marinfold-cv1-ens10,single_seq,lm,medium,L/2,0.25375591132501163
marinfold-cv1-ens10,single_seq,lm,medium,L/5,0.4063594136312587
marinfold-cv1-ens10,single_seq,lm,medium,R,0.41731124341187503
marinfold-cv1-ens10,single_seq,lm,short,AUC,0.9531423922355952
marinfold-cv1-ens10,single_seq,lm,short,L,0.11505070367164234
marinfold-cv1-ens10,single_seq,lm,short,L/2,0.20452311178076074
marinfold-cv1-ens10,single_seq,lm,short,L/5,0.37752219273901366
marinfold-cv1-ens10,single_seq,lm,short,R,0.5222545664944924
marinfold-cv1-exp67,single_seq,lm,all,AUC,0.6353678334401733
marinfold-cv1-exp67,single_seq,lm,all,L,0.02972554619436998
marinfold-cv1-exp67,single_seq,lm,all,L/2,0.02953969602833069
marinfold-cv1-exp67,single_seq,lm,all,L/5,0.028527453140872964
marinfold-cv1-exp67,single_seq,lm,all,R,0.029464298618116
marinfold-cv1-exp67,single_seq,lm,long,AUC,0.6164651950672237
marinfold-cv1-exp67,single_seq,lm,long,L,0.021407606976308124
marinfold-cv1-exp67,single_seq,lm,long,L/2,0.022296351415095166
marinfold-cv1-exp67,single_seq,lm,long,L/5,0.022227183144955368
marinfold-cv1-exp67,single_seq,lm,long,R,0.022042889876534653
marinfold-cv1-exp67,single_seq,lm,medium,AUC,0.5233253305247185
marinfold-cv1-exp67,single_seq,lm,medium,L,0.022973321093349996
marinfold-cv1-exp67,single_seq,lm,medium,L/2,0.023976318710486517
marinfold-cv1-exp67,single_seq,lm,medium,L/5,0.024764359360903328
marinfold-cv1-exp67,single_seq,lm,medium,R,0.025358159416897244
marinfold-cv1-exp67,single_seq,lm,short,AUC,0.5670390249736185
marinfold-cv1-exp67,single_seq,lm,short,L,0.028142310321491986
marinfold-cv1-exp67,single_seq,lm,short,L/2,0.027621136024345568
marinfold-cv1-exp67,single_seq,lm,short,L/5,0.027170215338651233
marinfold-cv1-exp67,single_seq,lm,short,R,0.027472416387261268
marinfold-cv1-rollout-resample,single_seq,lm,all,AUC,0.8813970081760399
marinfold-cv1-rollout-resample,single_seq,lm,all,L,0.3718331974274932
marinfold-cv1-rollout-resample,single_seq,lm,all,L/2,0.5014565635253787
marinfold-cv1-rollout-resample,single_seq,lm,all,L/5,0.6261772550769765
marinfold-cv1-rollout-resample,single_seq,lm,all,R,0.4149826841493977
marinfold-cv1-rollout-resample,single_seq,lm,long,AUC,0.8506642231715811
marinfold-cv1-rollout-resample,single_seq,lm,long,L,0.23173344901512025
marinfold-cv1-rollout-resample,single_seq,lm,long,L/2,0.3485506394099258
marinfold-cv1-rollout-resample,single_seq,lm,long,L/5,0.47202256456657926
marinfold-cv1-rollout-resample,single_seq,lm,long,R,0.3547478702033202
marinfold-cv1-rollout-resample,single_seq,lm,medium,AUC,0.922123080796593
marinfold-cv1-rollout-resample,single_seq,lm,medium,L,0.15828262916087613
marinfold-cv1-rollout-resample,single_seq,lm,medium,L/2,0.2651356535980573
marinfold-cv1-rollout-resample,single_seq,lm,medium,L/5,0.4428093132889204
marinfold-cv1-rollout-resample,single_seq,lm,medium,R,0.46032443787898786
marinfold-cv1-rollout-resample,single_seq,lm,short,AUC,0.9347100829488277
marinfold-cv1-rollout-resample,single_seq,lm,short,L,0.11293707994504427
marinfold-cv1-rollout-resample,single_seq,lm,short,L/2,0.20328281099941972
marinfold-cv1-rollout-resample,single_seq,lm,short,L/5,0.38438978370538635
marinfold-cv1-rollout-resample,single_seq,lm,short,R,0.5291116900804352
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,all,AUC,0.917286440509129
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,all,L,0.3711811458241891
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,all,L/2,0.5008203044722976
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,all,L/5,0.6268143219949212
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,all,R,0.41430685484044605
marinfold-cv1-rollout-resample-tiebreak,single_seq,lm,long,AUC,0.897835228996442
