model,mode,predictor,range,cut,mean_precision
seq-knn-k10-plain,single_seq,knn,all,L/2,0.40280671302370685
seq-knn-k10-plain,single_seq,knn,all,L/5,0.45913059180769683
seq-knn-k10-plain,single_seq,knn,all,R,0.3407022233400818
seq-knn-k10-plain,single_seq,knn,long,AUC,0.7009519537437795
seq-knn-k10-plain,single_seq,knn,long,L,0.20847395190149112
seq-knn-k10-plain,single_seq,knn,long,L/2,0.31556026445076085
seq-knn-k10-plain,single_seq,knn,long,L/5,0.4029481159273042
seq-knn-k10-plain,single_seq,knn,long,R,0.32035741274248186
seq-knn-k10-plain,single_seq,knn,medium,AUC,0.7199618542053531
seq-knn-k10-plain,single_seq,knn,medium,L,0.10413178774532177
seq-knn-k10-plain,single_seq,knn,medium,L/2,0.19275943395544395
seq-knn-k10-plain,single_seq,knn,medium,L/5,0.3379916025200252
seq-knn-k10-plain,single_seq,knn,medium,R,0.3522322138953729
seq-knn-k10-plain,single_seq,knn,short,AUC,0.7222824805513035
seq-knn-k10-plain,single_seq,knn,short,L,0.07559382691138541
seq-knn-k10-plain,single_seq,knn,short,L/2,0.14007786434428485
seq-knn-k10-plain,single_seq,knn,short,L/5,0.2926983655294716
seq-knn-k10-plain,single_seq,knn,short,R,0.36187777336065285
seq-knn-k25,single_seq,knn,all,AUC,0.7205890334858672
seq-knn-k25,single_seq,knn,all,L,0.32324461674547605
seq-knn-k25,single_seq,knn,all,L/2,0.40781067793564063
seq-knn-k25,single_seq,knn,all,L/5,0.46498812529733613
seq-knn-k25,single_seq,knn,all,R,0.34277181005850516
seq-knn-k25,single_seq,knn,long,AUC,0.7107793350528689
seq-knn-k25,single_seq,knn,long,L,0.2127606257087858
seq-knn-k25,single_seq,knn,long,L/2,0.31849300095693794
seq-knn-k25,single_seq,knn,long,L/5,0.4060743327248648
seq-knn-k25,single_seq,knn,long,R,0.32320747275728795
seq-knn-k25,single_seq,knn,medium,AUC,0.7293004916382444
seq-knn-k25,single_seq,knn,medium,L,0.10733787355067816
seq-knn-k25,single_seq,knn,medium,L/2,0.1980476317001016
seq-knn-k25,single_seq,knn,medium,L/5,0.34384136762698175
seq-knn-k25,single_seq,knn,medium,R,0.3545604926045041
seq-knn-k25,single_seq,knn,short,AUC,0.7322152154034091
seq-knn-k25,single_seq,knn,short,L,0.07786303080541292
seq-knn-k25,single_seq,knn,short,L/2,0.144320472828094
seq-knn-k25,single_seq,knn,short,L/5,0.30028190157925455
seq-knn-k25,single_seq,knn,short,R,0.3687344146171254
seq-knn-k25-noself,single_seq,knn,all,AUC,0.7205379313707567
seq-knn-k25-noself,single_seq,knn,all,L,0.32312427980203434
seq-knn-k25-noself,single_seq,knn,all,L/2,0.4076339330499607
seq-knn-k25-noself,single_seq,knn,all,L/5,0.4648377041180341
seq-knn-k25-noself,single_seq,knn,all,R,0.34259570721444427
seq-knn-k25-noself,single_seq,knn,long,AUC,0.7107337799149208
seq-knn-k25-noself,single_seq,knn,long,L,0.21273054147292536
seq-knn-k25-noself,single_seq,knn,long,L/2,0.31837266401349634
seq-knn-k25-noself,single_seq,knn,long,L/5,0.4059239115455628
seq-knn-k25-noself,single_seq,knn,long,R,0.3230502276908519
seq-knn-k25-noself,single_seq,knn,medium,AUC,0.7292983630221723
seq-knn-k25-noself,single_seq,knn,medium,L,0.10733787355067816
seq-knn-k25-noself,single_seq,knn,medium,L/2,0.1980476317001016
seq-knn-k25-noself,single_seq,knn,medium,L/5,0.3436909464476797
seq-knn-k25-noself,single_seq,knn,medium,R,0.35433445282150233
seq-knn-k25-noself,single_seq,knn,short,AUC,0.7320987064324648
seq-knn-k25-noself,single_seq,knn,short,L,0.07783294656955252
seq-knn-k25-noself,single_seq,knn,short,L/2,0.14426030435637316
seq-knn-k25-noself,single_seq,knn,short,L/5,0.2999926300805968
seq-knn-k25-noself,single_seq,knn,short,R,0.36853385304472275
seq-knn-k25-noself-plain,single_seq,knn,all,AUC,0.7204067836408403
seq-knn-k25-noself-plain,single_seq,knn,all,L,0.3179109558217593
seq-knn-k25-noself-plain,single_seq,knn,all,L/2,0.4028042738456974
seq-knn-k25-noself-plain,single_seq,knn,all,L/5,0.4616705468356999
seq-knn-k25-noself-plain,single_seq,knn,all,R,0.33836342701733857
seq-knn-k25-noself-plain,single_seq,knn,long,AUC,0.7106366616889587
seq-knn-k25-noself-plain,single_seq,knn,long,L,0.2107796447760758
seq-knn-k25-noself-plain,single_seq,knn,long,L/2,0.31446957002798753
seq-knn-k25-noself-plain,single_seq,knn,long,L/5,0.4033252349762015
seq-knn-k25-noself-plain,single_seq,knn,long,R,0.3196926262522942
seq-knn-k25-noself-plain,single_seq,knn,medium,AUC,0.7290549147421498
seq-knn-k25-noself-plain,single_seq,knn,medium,L,0.10719218495396501
seq-knn-k25-noself-plain,single_seq,knn,medium,L/2,0.19692294595395765
seq-knn-k25-noself-plain,single_seq,knn,medium,L/5,0.3389160564938189
seq-knn-k25-noself-plain,single_seq,knn,medium,R,0.35014435896649143
seq-knn-k25-noself-plain,single_seq,knn,short,AUC,0.7317082112351848
seq-knn-k25-noself-plain,single_seq,knn,short,L,0.07785836986746272
seq-knn-k25-noself-plain,single_seq,knn,short,L/2,0.1439599325722352
seq-knn-k25-noself-plain,single_seq,knn,short,L/5,0.29682085551686604
seq-knn-k25-noself-plain,single_seq,knn,short,R,0.3647997295945762
seq-knn-k25-plain,single_seq,knn,all,AUC,0.7204552822613882
seq-knn-k25-plain,single_seq,knn,all,L,0.3180312927652009
seq-knn-k25-plain,single_seq,knn,all,L/2,0.40286068178793566
seq-knn-k25-plain,single_seq,knn,all,L/5,0.461820968015002
seq-knn-k25-plain,single_seq,knn,all,R,0.3385835555724147
seq-knn-k25-plain,single_seq,knn,long,AUC,0.7106799335025406
seq-knn-k25-plain,single_seq,knn,long,L,0.2108097290119362
seq-knn-k25-plain,single_seq,knn,long,L/2,0.31458990697142913
seq-knn-k25-plain,single_seq,knn,long,L/5,0.4033252349762015
seq-knn-k25-plain,single_seq,knn,long,R,0.3197712487855123
seq-knn-k25-plain,single_seq,knn,medium,AUC,0.7290564270261618
seq-knn-k25-plain,single_seq,knn,medium,L,0.10719218495396501
seq-knn-k25-plain,single_seq,knn,medium,L/2,0.19692294595395765
seq-knn-k25-plain,single_seq,knn,medium,L/5,0.3389160564938189
seq-knn-k25-plain,single_seq,knn,medium,R,0.3503703987494932
seq-knn-k25-plain,single_seq,knn,short,AUC,0.7318164859566623
seq-knn-k25-plain,single_seq,knn,short,L,0.07788845410332314
seq-knn-k25-plain,single_seq,knn,short,L/2,0.14402010104395602
seq-knn-k25-plain,single_seq,knn,short,L/5,0.29695970583622183
seq-knn-k25-plain,single_seq,knn,short,R,0.3650002911669789
seq-knn-k5,single_seq,knn,all,AUC,0.6995271957142958
seq-knn-k5,single_seq,knn,all,L,0.31860819708518306
seq-knn-k5,single_seq,knn,all,L/2,0.4041819591768551
seq-knn-k5,single_seq,knn,all,L/5,0.4502651846275158
seq-knn-k5,single_seq,knn,all,R,0.34065681756938904
seq-knn-k5,single_seq,knn,long,AUC,0.689607032143717
seq-knn-k5,single_seq,knn,long,L,0.2027094627098773
seq-knn-k5,single_seq,knn,long,L/2,0.3141512767690945
seq-knn-k5,single_seq,knn,long,L/5,0.4040945641135384
seq-knn-k5,single_seq,knn,long,R,0.3191213077482248
seq-knn-k5,single_seq,knn,medium,AUC,0.7089510870563955
seq-knn-k5,single_seq,knn,medium,L,0.09987972875087031
seq-knn-k5,single_seq,knn,medium,L/2,0.18748681482736904
seq-knn-k5,single_seq,knn,medium,L/5,0.3391332997945302
seq-knn-k5,single_seq,knn,medium,R,0.3560046555435063
seq-knn-k5,single_seq,knn,short,AUC,0.7115136354564103
seq-knn-k5,single_seq,knn,short,L,0.07269111177779669
seq-knn-k5,single_seq,knn,short,L/2,0.13407530542095786
seq-knn-k5,single_seq,knn,short,L/5,0.2913018475476063
seq-knn-k5,single_seq,knn,short,R,0.3660947690495057
seq-knn-k5-noself,single_seq,knn,all,AUC,0.6994086769594822
seq-knn-k5-noself,single_seq,knn,all,L,0.3184300058420099
seq-knn-k5-noself,single_seq,knn,all,L/2,0.4040052142911752
seq-knn-k5-noself,single_seq,knn,all,L/5,0.4501147634482138
seq-knn-k5-noself,single_seq,knn,all,R,0.34021760869045137
seq-knn-k5-noself,single_seq,knn,long,AUC,0.6894835287080936
seq-knn-k5-noself,single_seq,knn,long,L,0.20262152417428533
seq-knn-k5-noself,single_seq,knn,long,L/2,0.3139745318834145
seq-knn-k5-noself,single_seq,knn,long,L/5,0.40394414293423636
seq-knn-k5-noself,single_seq,knn,long,R,0.3188068176153526
seq-knn-k5-noself,single_seq,knn,medium,AUC,0.7089496489482556
seq-knn-k5-noself,single_seq,knn,medium,L,0.09987972875087031
seq-knn-k5-noself,single_seq,knn,medium,L/2,0.18748681482736904
seq-knn-k5-noself,single_seq,knn,medium,L/5,0.3389828786152282
seq-knn-k5-noself,single_seq,knn,medium,R,0.35580373129194914
seq-knn-k5-noself,single_seq,knn,short,AUC,0.7113074675864982
seq-knn-k5-noself,single_seq,knn,short,L,0.07263094330607586
seq-knn-k5-noself,single_seq,knn,short,L/2,0.13395496847751623
seq-knn-k5-noself,single_seq,knn,short,L/5,0.2910010051890022
seq-knn-k5-noself,single_seq,knn,short,R,0.36552955007273447
seq-knn-k5-noself-plain,single_seq,knn,all,AUC,0.6993387083367578
seq-knn-k5-noself-plain,single_seq,knn,all,L,0.31302080818386235
seq-knn-k5-noself-plain,single_seq,knn,all,L/2,0.3983387404770818
seq-knn-k5-noself-plain,single_seq,knn,all,L/5,0.44840969719460216
seq-knn-k5-noself-plain,single_seq,knn,all,R,0.3362063331902775
seq-knn-k5-noself-plain,single_seq,knn,long,AUC,0.6894323744678288
seq-knn-k5-noself-plain,single_seq,knn,long,L,0.20092737417549766
seq-knn-k5-noself-plain,single_seq,knn,long,L/2,0.30987620415907585
seq-knn-k5-noself-plain,single_seq,knn,long,L/5,0.39737404479275606
seq-knn-k5-noself-plain,single_seq,knn,long,R,0.3150725360370105
seq-knn-k5-noself-plain,single_seq,knn,medium,AUC,0.7088132167702242
seq-knn-k5-noself-plain,single_seq,knn,medium,L,0.0998762158837042
seq-knn-k5-noself-plain,single_seq,knn,medium,L/2,0.18677789598440953
seq-knn-k5-noself-plain,single_seq,knn,medium,L/5,0.33217920982822424
seq-knn-k5-noself-plain,single_seq,knn,medium,R,0.3496386120495312
seq-knn-k5-noself-plain,single_seq,knn,short,AUC,0.711063483785804
seq-knn-k5-noself-plain,single_seq,knn,short,L,0.07263094330607586
seq-knn-k5-noself-plain,single_seq,knn,short,L/2,0.13395496847751623
seq-knn-k5-noself-plain,single_seq,knn,short,L/5,0.28878769749288824
seq-knn-k5-noself-plain,single_seq,knn,short,R,0.35840663224716834
seq-knn-k5-plain,single_seq,knn,all,AUC,0.6994515118821582
seq-knn-k5-plain,single_seq,knn,all,L,0.3131689151911751
seq-knn-k5-plain,single_seq,knn,all,L/2,0.3985681327755174
seq-knn-k5-plain,single_seq,knn,all,L/5,0.4485601183739042
seq-knn-k5-plain,single_seq,knn,all,R,0.3364264617453536
seq-knn-k5-plain,single_seq,knn,long,AUC,0.6895517330582083
seq-knn-k5-plain,single_seq,knn,long,L,0.20101531271108963
seq-knn-k5-plain,single_seq,knn,long,L/2,0.3100529490447557
seq-knn-k5-plain,single_seq,knn,long,L/5,0.39737404479275606
seq-knn-k5-plain,single_seq,knn,long,R,0.3151511585702285
seq-knn-k5-plain,single_seq,knn,medium,AUC,0.7088167834944362
seq-knn-k5-plain,single_seq,knn,medium,L,0.0998762158837042
seq-knn-k5-plain,single_seq,knn,medium,L/2,0.18677789598440953
seq-knn-k5-plain,single_seq,knn,medium,L/5,0.33232963100752627
seq-knn-k5-plain,single_seq,knn,medium,R,0.3498395363010883
seq-knn-k5-plain,single_seq,knn,short,AUC,0.7112634639529064
seq-knn-k5-plain,single_seq,knn,short,L,0.07269111177779669
seq-knn-k5-plain,single_seq,knn,short,L/2,0.13407530542095786
seq-knn-k5-plain,single_seq,knn,short,L/5,0.2889381186721903
seq-knn-k5-plain,single_seq,knn,short,R,0.358607193819571
seq-knn-k50,single_seq,knn,all,AUC,0.7250098280784096
seq-knn-k50,single_seq,knn,all,L,0.31793744565158655
seq-knn-k50,single_seq,knn,all,L/2,0.4043669593418242
seq-knn-k50,single_seq,knn,all,L/5,0.46175488537524306
seq-knn-k50,single_seq,knn,all,R,0.33832526494269677
seq-knn-k50,single_seq,knn,long,AUC,0.7155813377585984
seq-knn-k50,single_seq,knn,long,L,0.21237875427248448
seq-knn-k50,single_seq,knn,long,L/2,0.31498269551025004
seq-knn-k50,single_seq,knn,long,L/5,0.3994591220563282
seq-knn-k50,single_seq,knn,long,R,0.31701303467097985
seq-knn-k50,single_seq,knn,medium,AUC,0.7337019177945795
seq-knn-k50,single_seq,knn,medium,L,0.10871194313470962
seq-knn-k50,single_seq,knn,medium,L/2,0.19927934356702023
seq-knn-k50,single_seq,knn,medium,L/5,0.3374677353570852
seq-knn-k50,single_seq,knn,medium,R,0.3485487666166123
seq-knn-k50,single_seq,knn,short,AUC,0.7358308707409751
seq-knn-k50,single_seq,knn,short,L,0.07865130289900502
seq-knn-k50,single_seq,knn,short,L/2,0.1454123869861858
seq-knn-k50,single_seq,knn,short,L/5,0.29900931329062364
seq-knn-k50,single_seq,knn,short,R,0.3696248440461597
seq-knn-k50-noself,single_seq,knn,all,AUC,0.7249589769999804
seq-knn-k50-noself,single_seq,knn,all,L,0.3178171087081449
seq-knn-k50-noself,single_seq,knn,all,L/2,0.40424662239838255
seq-knn-k50-noself,single_seq,knn,all,L/5,0.461604464195941
seq-knn-k50-noself,single_seq,knn,all,R,0.3381061846188353
seq-knn-k50-noself,single_seq,knn,long,AUC,0.7155354172743063
seq-knn-k50-noself,single_seq,knn,long,L,0.21234867003662408
seq-knn-k50-noself,single_seq,knn,long,L/2,0.31486235856680833
seq-knn-k50-noself,single_seq,knn,long,L/5,0.39930870087702613
seq-knn-k50-noself,single_seq,knn,long,R,0.31685578960454386
seq-knn-k50-noself,single_seq,knn,medium,AUC,0.7336993041145955
seq-knn-k50-noself,single_seq,knn,medium,L,0.10871194313470962
seq-knn-k50-noself,single_seq,knn,medium,L/2,0.19927934356702023
seq-knn-k50-noself,single_seq,knn,medium,L/5,0.3373173141777831
seq-knn-k50-noself,single_seq,knn,medium,R,0.3485487666166123
seq-knn-k50-noself,single_seq,knn,short,AUC,0.7357152408548449
seq-knn-k50-noself,single_seq,knn,short,L,0.07862121866314462
seq-knn-k50-noself,single_seq,knn,short,L/2,0.14535221851446498
seq-knn-k50-noself,single_seq,knn,short,L/5,0.2988588921113216
seq-knn-k50-noself,single_seq,knn,short,R,0.3694242824737569
seq-knn-k50-noself-plain,single_seq,knn,all,AUC,0.7248201817658158
seq-knn-k50-noself-plain,single_seq,knn,all,L,0.3132059080204894
seq-knn-k50-noself-plain,single_seq,knn,all,L/2,0.39981466069798993
seq-knn-k50-noself-plain,single_seq,knn,all,L/5,0.45822863332027625
seq-knn-k50-noself-plain,single_seq,knn,all,R,0.3340343008125208
seq-knn-k50-noself-plain,single_seq,knn,long,AUC,0.7154318317397285
seq-knn-k50-noself-plain,single_seq,knn,long,L,0.21081655815625136
seq-knn-k50-noself-plain,single_seq,knn,long,L/2,0.31151337806434737
seq-knn-k50-noself-plain,single_seq,knn,long,L/5,0.39696948400185866
seq-knn-k50-noself-plain,single_seq,knn,long,R,0.3138592434410015
seq-knn-k50-noself-plain,single_seq,knn,medium,AUC,0.7334355209490229
seq-knn-k50-noself-plain,single_seq,knn,medium,L,0.10871601471960236
seq-knn-k50-noself-plain,single_seq,knn,medium,L/2,0.19795159393118653
seq-knn-k50-noself-plain,single_seq,knn,medium,L/5,0.33230883288147783
seq-knn-k50-noself-plain,single_seq,knn,medium,R,0.34383121061388633
seq-knn-k50-noself-plain,single_seq,knn,short,AUC,0.7352664663308166
seq-knn-k50-noself-plain,single_seq,knn,short,L,0.0786411911953325
seq-knn-k50-noself-plain,single_seq,knn,short,L/2,0.14507624740635466
seq-knn-k50-noself-plain,single_seq,knn,short,L/5,0.2957851102472772
seq-knn-k50-noself-plain,single_seq,knn,short,R,0.3661378580296397
seq-knn-k50-plain,single_seq,knn,all,AUC,0.7248684460854614
seq-knn-k50-plain,single_seq,knn,all,L,0.313326244963931
seq-knn-k50-plain,single_seq,knn,all,L/2,0.39981466069798993
seq-knn-k50-plain,single_seq,knn,all,L/5,0.45837905449957833
seq-knn-k50-plain,single_seq,knn,all,R,0.3342974068473975
seq-knn-k50-plain,single_seq,knn,long,AUC,0.7154755419689229
seq-knn-k50-plain,single_seq,knn,long,L,0.21084664239211176
seq-knn-k50-plain,single_seq,knn,long,L/2,0.311633715007789
seq-knn-k50-plain,single_seq,knn,long,L/5,0.39696948400185866
seq-knn-k50-plain,single_seq,knn,long,R,0.3139378659742196
seq-knn-k50-plain,single_seq,knn,medium,AUC,0.7334372757649907
seq-knn-k50-plain,single_seq,knn,medium,L,0.10871601471960236
seq-knn-k50-plain,single_seq,knn,medium,L/2,0.19795159393118653
seq-knn-k50-plain,single_seq,knn,medium,L/5,0.33230883288147783
seq-knn-k50-plain,single_seq,knn,medium,R,0.34383121061388633
seq-knn-k50-plain,single_seq,knn,short,AUC,0.7353735689392084
seq-knn-k50-plain,single_seq,knn,short,L,0.07867127543119293
seq-knn-k50-plain,single_seq,knn,short,L/2,0.1451364158780755
seq-knn-k50-plain,single_seq,knn,short,L/5,0.2957851102472772
seq-knn-k50-plain,single_seq,knn,short,R,0.36633841960204244
