eval_set,metric,n_targets,oracle_best,mean_prediction,median_prediction,confidence_top,top_zero_confidence,top_l_confidence,confidence_minus_top_l,confidence_minus_zero,confidence_minus_zero_ci_low,confidence_minus_zero_ci_high,confidence_cut_mean,confidence_cut_median,confidence_picked_zero_fraction,confidence_picked_top_l_fraction,confidence_minus_top_l_ci_low,confidence_minus_top_l_ci_high,oracle_minus_confidence,oracle_minus_confidence_ci_low,oracle_minus_confidence_ci_high
eval-denovo,gdt_ts,19,0.9341209096932033,0.8439383632756813,0.8669636232323491,0.8989578128729371,0.8574370717529503,0.8503244793011796,0.0486333335717575,0.041520741119986826,0.0020424781297326737,0.10236016751960353,43,10,0.42105263157894735,0.05263157894736842,-0.006187762088804588,0.11860650465485768,0.035163096820266214,0.02108037727879381,0.0517729156898916
eval-denovo,lddt,19,0.8620363671806488,0.8080284002114909,0.8151554697157192,0.8414187083635467,0.8254377512129274,0.8036526501474351,0.037766058216111585,0.015980957150619268,-0.0010031169261478597,0.03833139659808921,43,10,0.42105263157894735,0.05263157894736842,0.000866773569045902,0.08587163397541342,0.02061765881710215,0.013985924906954699,0.02783091679616497
eval-denovo,rmsd,19,0.6086308832848082,1.0706467318704598,0.8778613701531007,0.7715461570808991,1.001877986377727,0.971747418428301,-0.20020126134740193,-0.2303318292968278,-0.6421549449308898,0.0129250049964031,43,10,0.42105263157894735,0.05263157894736842,-0.5088219541405523,0.031369291857681614,-0.16291527379609094,-0.24051232193541724,-0.09775512455100026
eval-denovo,tm_score,19,0.9490690135072547,0.9028772001956621,0.9185813608563768,0.9336095028496025,0.9134891603370601,0.9060626012133747,0.027546901636227906,0.02012034251254246,0.001981408723885252,0.04771977366304747,43,10,0.42105263157894735,0.05263157894736842,-0.0034072903140752726,0.06915644774706285,0.01545951065765217,0.008179351761343802,0.024269619469159
eval-val,gdt_ts,96,0.6242332276465704,0.4369369871484678,0.4703061381777745,0.5277186035825675,0.13231988456579455,0.5014695688522334,0.026249034730334093,0.3953987190167729,0.3376715590506247,0.45154161944247684,165.48958333333334,135.0,0.020833333333333332,0.052083333333333336,0.003917699226268893,0.050829944931162496,0.09651462406400294,0.07725843473799203,0.11812245447612005
eval-val,lddt,96,0.686216517126801,0.587623411875564,0.6117093330522705,0.6462259992302708,0.3475773847695356,0.6305955356839277,0.0156304635463431,0.2986486144607352,0.26156641646358253,0.33482959468389695,165.48958333333334,135.0,0.020833333333333332,0.052083333333333336,0.0022800427379980628,0.030823798446054818,0.0399905178965302,0.03263669151377543,0.04807325891399312
eval-val,rmsd,96,2.939458861987754,5.094840949809263,4.587181144356547,4.311724020806063,9.068759372552263,4.489357821110775,-0.17763380030471115,-4.757035351746199,-5.5700029842194905,-3.887714342616779,165.48958333333334,135.0,0.020833333333333332,0.052083333333333336,-0.6422896987839036,0.27348634551495116,-1.3722651588183095,-2.0149298654402634,-0.9206021583411386
eval-val,tm_score,96,0.8082274618124687,0.6902949864933938,0.7197483293153452,0.75583203989537,0.41575361708004643,0.7340010390624284,0.02183100083294154,0.34007842281532347,0.294381464565563,0.38451903470721377,165.48958333333334,135.0,0.020833333333333332,0.052083333333333336,0.007566809334907474,0.03743993246207428,0.05239542191709886,0.04161657263498242,0.064221589752325
