eval_set,n_pairs,metric,n_targets,mean_effective_pairs,mean_prediction,oracle_best,confidence_top
eval-denovo,0,gdt_ts,19,0,0.8627708318786791,0.9030798489536798,0.8574370717529503
eval-denovo,0,lddt,19,0,0.825180252363865,0.8437667139409147,0.8254377512129274
eval-denovo,0,rmsd,19,0,0.976108303345137,0.7361957120167728,1.001877986377727
eval-denovo,0,tm_score,19,0,0.9139691204925994,0.9353207513446041,0.9134891603370601
eval-denovo,10,gdt_ts,19,10,0.8788675757393495,0.8985898361701096,0.8817155274722382
eval-denovo,10,lddt,19,10,0.8294441739301388,0.8398454152405982,0.8329596994369893
eval-denovo,10,rmsd,19,10,0.8276735199061801,0.7498484230078437,0.8368250119295109
eval-denovo,10,tm_score,19,10,0.924740872998648,0.9362606369673384,0.9297999043603867
eval-denovo,20,gdt_ts,19,20,0.8247029183667586,0.8474868639151614,0.8289823052957221
eval-denovo,20,lddt,19,20,0.810052763483767,0.8202937852586869,0.8132266828549768
eval-denovo,20,rmsd,19,20,1.2569068692278205,1.1508221008618618,1.2153357835098544
eval-denovo,20,tm_score,19,20,0.8961025464878791,0.9095247566330941,0.8986654276374975
eval-denovo,30,gdt_ts,19,30,0.8497800152124607,0.8871120800989855,0.8388535407959313
eval-denovo,30,lddt,19,30,0.8183567887374614,0.8345712947022336,0.815217016530961
eval-denovo,30,rmsd,19,30,1.1017587029876177,0.7915103845967881,1.2065407822134884
eval-denovo,30,tm_score,19,30,0.9077116541543296,0.9243486891177024,0.9002749168804083
eval-denovo,40,gdt_ts,18,40,0.8224085693076753,0.8450317011665663,0.8230131654768036
eval-denovo,40,lddt,18,40,0.8023298177807504,0.8123986563768502,0.8035167524412066
eval-denovo,40,rmsd,18,40,1.36927067460937,1.2531638921775723,1.3540180386842264
eval-denovo,40,tm_score,18,40,0.9040679954986771,0.9136170002873872,0.9023406990704659
eval-denovo,50,gdt_ts,18,50,0.8288663169263447,0.871805504884026,0.8132222147249552
eval-denovo,50,lddt,18,50,0.8061785756122372,0.8247146465198026,0.8049433109718831
eval-denovo,50,rmsd,18,50,1.2324167016033576,0.8774274921796781,1.386731217749756
eval-denovo,50,tm_score,18,50,0.9074905274359194,0.926885278800608,0.9029311987040598
eval-denovo,60,gdt_ts,18,59.888888888888886,0.8286541209411813,0.875029512614878,0.8062332055829018
eval-denovo,60,lddt,18,59.888888888888886,0.8022936335799418,0.8217176144819777,0.7953311127354418
