model,range,cut,mean_precision
delta-v2-step4000-n100,short,L,0.03822016953343737
delta-v2-step4000-n100,short,L/2,0.04705020844010196
delta-v2-step4000-n100,short,L/5,0.06176535583917338
delta-v2-step4000-n100,short,R,0.0713625868183616
delta-v2-step42000-n100,all,AUC,0.8854526563250253
delta-v2-step42000-n100,all,L,0.4354730199235864
delta-v2-step42000-n100,all,L/2,0.573068963463483
delta-v2-step42000-n100,all,L/5,0.6862226080395997
delta-v2-step42000-n100,all,R,0.47607367625779995
delta-v2-step42000-n100,long,AUC,0.852631120721338
delta-v2-step42000-n100,long,L,0.26967638348432116
delta-v2-step42000-n100,long,L/2,0.4068122369205017
delta-v2-step42000-n100,long,L/5,0.5312046322599097
delta-v2-step42000-n100,long,R,0.40551646103468764
delta-v2-step42000-n100,medium,AUC,0.9331728692162775
delta-v2-step42000-n100,medium,L,0.16896667271865412
delta-v2-step42000-n100,medium,L/2,0.3001412397951521
delta-v2-step42000-n100,medium,L/5,0.5149855645686565
delta-v2-step42000-n100,medium,R,0.5414439090283223
delta-v2-step42000-n100,short,AUC,0.9468059838080685
delta-v2-step42000-n100,short,L,0.11620143114287224
delta-v2-step42000-n100,short,L/2,0.21651383852073355
delta-v2-step42000-n100,short,L/5,0.4391660725253741
delta-v2-step42000-n100,short,R,0.5925548226512527
delta-v2-step6000-n100,all,AUC,0.6520293699267192
delta-v2-step6000-n100,all,L,0.07312383371316541
delta-v2-step6000-n100,all,L/2,0.09199432517300295
delta-v2-step6000-n100,all,L/5,0.11791409211694891
delta-v2-step6000-n100,all,R,0.07848738946539421
delta-v2-step6000-n100,long,AUC,0.6085244185114371
delta-v2-step6000-n100,long,L,0.041106817022520135
delta-v2-step6000-n100,long,L/2,0.04799956514891784
delta-v2-step6000-n100,long,L/5,0.058569307662855695
delta-v2-step6000-n100,long,R,0.04769164979749672
delta-v2-step6000-n100,medium,AUC,0.6459356639802946
delta-v2-step6000-n100,medium,L,0.05308290545770734
delta-v2-step6000-n100,medium,L/2,0.06795662740071325
delta-v2-step6000-n100,medium,L/5,0.09000797060766408
delta-v2-step6000-n100,medium,R,0.09081510154958986
delta-v2-step6000-n100,short,AUC,0.6717769198367863
delta-v2-step6000-n100,short,L,0.05049443014003487
delta-v2-step6000-n100,short,L/2,0.0674048112320491
delta-v2-step6000-n100,short,L/5,0.09490943942819129
delta-v2-step6000-n100,short,R,0.11737448878524785
delta-v2-step8000-n100,all,AUC,0.7082894209714513
delta-v2-step8000-n100,all,L,0.12031195711187719
delta-v2-step8000-n100,all,L/2,0.15348715125073997
delta-v2-step8000-n100,all,L/5,0.20404507594560636
delta-v2-step8000-n100,all,R,0.13055114355818356
delta-v2-step8000-n100,long,AUC,0.6566782397911496
delta-v2-step8000-n100,long,L,0.06832679410697574
delta-v2-step8000-n100,long,L/2,0.08715167390698705
