DMS_id,depth,spearman,n_variants
FECA_ECOLI_Tsuboyama_2023_2D1U,1,0.34972782073228925,1219
FECA_ECOLI_Tsuboyama_2023_2D1U,2,0.2945995848167517,667
FKBP3_HUMAN_Tsuboyama_2023_2KFV,1,0.189584681336889,1237
GAL4_YEAST_Kitzman_2015,1,0.3163111922791378,1195
GCN4_YEAST_Staller_2018,1,0.27874331550802145,33
GCN4_YEAST_Staller_2018,2,-0.04967622071913321,55
GCN4_YEAST_Staller_2018,3,0.20806657724167565,149
GCN4_YEAST_Staller_2018,4,0.2852555465258916,380
GCN4_YEAST_Staller_2018,5+,0.29349032653062845,2021
GDIA_HUMAN_Silverstein_2021,1,0.24897423463940857,1154
GFP_AEQVI_Sarkisyan_2016,1,0.031147126898964938,1084
GFP_AEQVI_Sarkisyan_2016,2,0.005783319789147893,12777
GFP_AEQVI_Sarkisyan_2016,3,0.007346330049103096,12336
GFP_AEQVI_Sarkisyan_2016,4,-0.0028154181281475864,9387
GFP_AEQVI_Sarkisyan_2016,5+,0.02662840986546356,16130
GLPA_HUMAN_Elazar_2016,1,0.371707643473223,245
GRB2_HUMAN_Faure_2021,1,0.6418028830616022,1034
GRB2_HUMAN_Faure_2021,2,0.5628987474637315,62332
HCP_LAMBD_Tsuboyama_2023_2L6Q,1,0.368744107432034,1040
HECD1_HUMAN_Tsuboyama_2023_3DKM,1,0.17282316317900653,1244
HECD1_HUMAN_Tsuboyama_2023_3DKM,2,0.20915996192664013,4342
HEM3_HUMAN_Loggerenberg_2023,1,0.12459905013217297,5689
HIS7_YEAST_Pokusaeva_2019,1,0.09645399763647607,168
HIS7_YEAST_Pokusaeva_2019,2,0.07418229386916939,1475
HIS7_YEAST_Pokusaeva_2019,3,0.11032935280893248,7627
HIS7_YEAST_Pokusaeva_2019,4,0.0777373643563853,25927
HIS7_YEAST_Pokusaeva_2019,5+,0.11784868424105123,460940
HMDH_HUMAN_Jiang_2019,1,0.06789011970590737,16853
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,1,0.2734479647031705,2252
HSP82_YEAST_Flynn_2019,1,0.193725821315996,13294
HSP82_YEAST_Mishra_2016,1,0.44118953179710235,4323
HXK4_HUMAN_Gersing_2022_activity,1,0.47403590724519645,8570
HXK4_HUMAN_Gersing_2023_abundance,1,0.27523325356586187,8396
I6TAH8_I68A0_Doud_2015,1,0.014163235733819802,9462
IF1_ECOLI_Kelsic_2016,1,0.24206731299413325,1367
ILF3_HUMAN_Tsuboyama_2023_2L33,1,0.3404784778898736,1329
ISDH_STAAW_Tsuboyama_2023_2LHR,1,0.29284386221165426,940
ISDH_STAAW_Tsuboyama_2023_2LHR,2,0.3743393637170117,1004
KCNE1_HUMAN_Muhammad_2023_expression,1,0.16337190701927465,2339
KCNE1_HUMAN_Muhammad_2023_function,1,0.1829054200878277,2315
