DMS_id,orderings,min_context_fraction,spearman,n_variants,n_dropped,site_out_of_range,wt_mismatch,undefined_ratio
A0A2Z5U3Z0_9INFA_Wu_2014,16,0.0,0.02880557089901502,2350,0,0,0,0
A0A2Z5U3Z0_9INFA_Wu_2014,16,0.5,0.04192991410878711,2350,0,0,0,0
A0A2Z5U3Z0_9INFA_Wu_2014,16,0.75,0.05180982631494869,2318,32,0,0,32
A0A2Z5U3Z0_9INFA_Wu_2014,64,0.0,0.0329358531998917,2350,0,0,0,0
A0A2Z5U3Z0_9INFA_Wu_2014,64,0.5,0.04311882304548846,2350,0,0,0,0
A0A2Z5U3Z0_9INFA_Wu_2014,64,0.75,0.05072433126628522,2350,0,0,0,0
A0A2Z5U3Z0_9INFA_Wu_2014,64,0.9,0.0490189366373672,2350,0,0,0,0
A0A2Z5U3Z0_9INFA_Wu_2014,200,0.0,0.03268400124648689,2350,0,0,0,0
A0A2Z5U3Z0_9INFA_Wu_2014,200,0.5,0.039919107497151975,2350,0,0,0,0
A0A2Z5U3Z0_9INFA_Wu_2014,200,0.75,0.04688143747965918,2350,0,0,0,0
A0A2Z5U3Z0_9INFA_Wu_2014,200,0.9,0.04866915204533356,2350,0,0,0,0
A4_HUMAN_Seuma_2022,1,0.0,0.11352832564774949,14811,0,0,0,0
A4_HUMAN_Seuma_2022,4,0.0,0.2361643500196758,14811,0,0,0,0
A4_HUMAN_Seuma_2022,16,0.0,0.27781071113807954,14811,0,0,0,0
A4_HUMAN_Seuma_2022,16,0.5,0.3605139579801885,14811,0,0,0,0
A4_HUMAN_Seuma_2022,16,0.75,0.3772170410483416,14811,0,0,0,0
A4_HUMAN_Seuma_2022,64,0.0,0.29650194957100806,14811,0,0,0,0
A4_HUMAN_Seuma_2022,64,0.5,0.3573818701897272,14811,0,0,0,0
A4_HUMAN_Seuma_2022,64,0.75,0.37334228125215063,14811,0,0,0,0
A4_HUMAN_Seuma_2022,64,0.9,0.38908981950968735,14811,0,0,0,0
A4_HUMAN_Seuma_2022,200,0.0,0.2942975313422856,14811,0,0,0,0
A4_HUMAN_Seuma_2022,200,0.5,0.36065788259937737,14811,0,0,0,0
A4_HUMAN_Seuma_2022,200,0.75,0.37525421158507355,14811,0,0,0,0
A4_HUMAN_Seuma_2022,200,0.9,0.38599320195155107,14811,0,0,0,0
A4D664_9INFA_Soh_2019,1,0.0,0.005115178980153242,14421,0,0,0,0
A4D664_9INFA_Soh_2019,4,0.0,0.00020395628110225783,14421,0,0,0,0
A4D664_9INFA_Soh_2019,16,0.0,0.004299354426450734,14421,0,0,0,0
A4D664_9INFA_Soh_2019,16,0.5,0.011187655605694779,14421,0,0,0,0
A4D664_9INFA_Soh_2019,16,0.75,0.009209170170707874,14307,114,0,0,114
A4D664_9INFA_Soh_2019,64,0.0,0.006911087709161694,14421,0,0,0,0
A4D664_9INFA_Soh_2019,64,0.5,0.011111077552348931,14421,0,0,0,0
A4D664_9INFA_Soh_2019,64,0.75,0.013440594554618343,14421,0,0,0,0
A4D664_9INFA_Soh_2019,64,0.9,0.015670343701255862,14421,0,0,0,0
A4D664_9INFA_Soh_2019,200,0.0,0.0057016639366794155,14421,0,0,0,0
A4D664_9INFA_Soh_2019,200,0.5,0.010683681164202282,14421,0,0,0,0
A4D664_9INFA_Soh_2019,200,0.75,0.012873532513188974,14421,0,0,0,0
A4D664_9INFA_Soh_2019,200,0.9,0.015644072309425914,14421,0,0,0,0
A4GRB6_PSEAI_Chen_2020,1,0.0,0.23228894872172617,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,4,0.0,0.32973574469738415,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,16,0.0,0.37154105636499346,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,16,0.5,0.4279593866061661,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,16,0.75,0.4434052905541919,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,64,0.0,0.3774086649026817,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,64,0.5,0.4354319695314243,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,64,0.75,0.4519595421564932,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,64,0.9,0.45241768912493197,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,200,0.0,0.3726643938101829,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,200,0.5,0.43154747985722336,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,200,0.75,0.4476461034942412,5004,0,0,0,0
A4GRB6_PSEAI_Chen_2020,200,0.9,0.4537076027220931,5004,0,0,0,0
AACC1_PSEAI_Dandage_2018,1,0.0,0.11449856425874834,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,4,0.0,0.16205592308099664,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,16,0.0,0.18380055665339434,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,16,0.5,0.21147773543245865,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,16,0.75,0.20955277519394377,1790,11,0,0,11
AACC1_PSEAI_Dandage_2018,64,0.0,0.19599152748136908,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,64,0.5,0.21676179116138042,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,64,0.75,0.22224630780846888,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,64,0.9,0.22780002785613715,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,200,0.0,0.19360312167270927,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,200,0.5,0.21544203094191314,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,200,0.75,0.21945973534971275,1801,0,0,0,0
AACC1_PSEAI_Dandage_2018,200,0.9,0.22346316056139218,1801,0,0,0,0
ACE2_HUMAN_Chan_2020,1,0.0,-0.015164283643121803,2223,0,0,0,0
ACE2_HUMAN_Chan_2020,4,0.0,-0.06019205402014117,2223,0,0,0,0
ACE2_HUMAN_Chan_2020,16,0.0,-0.05855544764409235,2223,0,0,0,0
ACE2_HUMAN_Chan_2020,16,0.5,-0.04697754044010109,2223,0,0,0,0
ACE2_HUMAN_Chan_2020,16,0.75,-0.020531628961681758,2204,19,0,0,19
ACE2_HUMAN_Chan_2020,64,0.0,-0.04934434107781284,2223,0,0,0,0
ACE2_HUMAN_Chan_2020,64,0.5,-0.03525734036861667,2223,0,0,0,0
ACE2_HUMAN_Chan_2020,64,0.75,-0.009330207116587911,2223,0,0,0,0
ACE2_HUMAN_Chan_2020,64,0.9,-0.010030152201861353,2223,0,0,0,0
ACE2_HUMAN_Chan_2020,200,0.0,-0.04932958976392518,2223,0,0,0,0
ACE2_HUMAN_Chan_2020,200,0.5,-0.033294198927588864,2223,0,0,0,0
