stem,n_residues,n_pairs,mode,elapsed_seconds,model_load_seconds,total_seconds,n_orderings,batch_size,tokens,model_nickname,runner_tag,timestamp_utc,gpu_name,gpu_total_memory_gb,gpu_compute_capability,hostname,platform,torch_version
ADRB2_HUMAN_Jones_2020,413,,masked-marginals-K200,18.33,,18.33,200,8,166600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
AICDA_HUMAN_Gajula_2014_3cycles,198,,masked-marginals-K200,9.335,,9.335,200,8,80600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
AMFR_HUMAN_Tsuboyama_2023_4G3O,47,,masked-marginals-K200,2.632,,2.632,200,8,20200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
AMIE_PSEAE_Wrenbeck_2017,346,,masked-marginals-K200,15.52,,15.52,200,8,139800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
ANCSZ_Hobbs_2022,627,,masked-marginals-K200,27.429,,27.429,200,8,252200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
ARGR_ECOLI_Tsuboyama_2023_1AOY,69,,masked-marginals-K200,3.882,,3.882,200,8,29000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,198,,masked-marginals-K200,9.319,,9.319,200,8,80600,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
BBC1_YEAST_Tsuboyama_2023_1TG0,64,,masked-marginals-K200,3.801,,3.801,200,8,27000,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
BCHB_CHLTE_Tsuboyama_2023_2KRU,52,,masked-marginals-K200,2.82,,2.82,200,8,22200,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
BLAT_ECOLX_Deng_2012,286,,masked-marginals-K200,13.032,,13.032,200,8,115800,contacts-v1-exp199-1.5B,local,2026-08-12T18:37:50+00:00,NVIDIA RTX A5000,23.68,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.5.1+cu121
