run_key,model_label,from_epoch,to_epoch,from_step,to_step,from_training_tokens,to_training_tokens,from_validation_loss,to_validation_loss,delta_validation_loss,range,n,delta_r_precision_mean,delta_r_precision_std,delta_r_precision_sem,delta_r_precision_ci95_low,delta_r_precision_ci95_high,win_rate,tie_rate
exp146-3b-e8,3B E8,1,2,2230,4460,4676648960,9353297920,3.602867841720581,3.184345006942749,-0.41852283477783203,all,554,0.0033972707921683665,0.019641879563307308,0.0008345034979253134,0.0017616439362347523,0.005032897648101981,0.48736462093862815,0.18953068592057762
exp146-3b-e8,3B E8,1,2,2230,4460,4676648960,9353297920,3.602867841720581,3.184345006942749,-0.41852283477783203,short,554,0.0006865194319749756,0.05586141393975119,0.00237332405901011,-0.00396519572368484,0.005338234587634791,0.2509025270758123,0.516245487364621
exp146-3b-e8,3B E8,1,2,2230,4460,4676648960,9353297920,3.602867841720581,3.184345006942749,-0.41852283477783203,medium,553,0.002448072264032922,0.03492777582288499,0.0014852801100482967,-0.0004630767516617391,0.005359221279727584,0.2603978300180832,0.5117540687160941
exp146-3b-e8,3B E8,1,2,2230,4460,4676648960,9353297920,3.602867841720581,3.184345006942749,-0.41852283477783203,long,553,0.000977090341295522,0.027848794078131775,0.0011842511857276161,-0.0013440419827306057,0.0032982226653216493,0.35804701627486435,0.31103074141048825
exp146-3b-e8,3B E8,2,3,4460,6690,9353297920,14029946880,3.184345006942749,3.026846408843994,-0.15749859809875488,all,554,0.0008295706626022899,0.022613375463313552,0.0009607502613592096,-0.001053499849661761,0.0027126411748663406,0.4151624548736462,0.18411552346570398
exp146-3b-e8,3B E8,2,3,4460,6690,9353297920,14029946880,3.184345006942749,3.026846408843994,-0.15749859809875488,short,554,-0.0003620056302714219,0.05470594103631138,0.0023242327194277347,-0.004917501760349782,0.004193490499806937,0.24187725631768953,0.5108303249097473
exp146-3b-e8,3B E8,2,3,4460,6690,9353297920,14029946880,3.184345006942749,3.026846408843994,-0.15749859809875488,medium,553,0.0001378607745987334,0.035342502751725784,0.001502916092987269,-0.0028078547676563138,0.0030835763168537804,0.2603978300180832,0.47920433996383366
exp146-3b-e8,3B E8,2,3,4460,6690,9353297920,14029946880,3.184345006942749,3.026846408843994,-0.15749859809875488,long,553,0.0011403101206773362,0.030054074090303938,0.00127802923090793,-0.0013646271719022064,0.003645247413256879,0.37613019891500904,0.30560578661844484
exp146-3b-e8,3B E8,3,4,6690,8920,14029946880,18706595840,3.026846408843994,2.8735108375549316,-0.1533355712890625,all,554,0.26005057349163924,0.17396959036556872,0.007391259641155026,0.2455637045949754,0.2745374423883031,0.9981949458483754,0.0018050541516245488
exp146-3b-e8,3B E8,3,4,6690,8920,14029946880,18706595840,3.026846408843994,2.8735108375549316,-0.1533355712890625,short,554,0.40118347489171047,0.22116929036424837,0.00939658273780532,0.38276617272561203,0.4196007770578089,0.9729241877256317,0.019855595667870037
exp146-3b-e8,3B E8,3,4,6690,8920,14029946880,18706595840,3.026846408843994,2.8735108375549316,-0.1533355712890625,medium,553,0.30249785293823983,0.19837761986758518,0.008435874490324435,0.28596353893720394,0.3190321669392757,0.9511754068716094,0.045207956600361664
exp146-3b-e8,3B E8,3,4,6690,8920,14029946880,18706595840,3.026846408843994,2.8735108375549316,-0.1533355712890625,long,553,0.20096753386241534,0.19525367046257658,0.008303030648804577,0.18469359379075836,0.2172414739340723,0.9602169981916817,0.028933092224231464
exp146-3b-e8,3B E8,4,5,8920,11150,18706595840,23383244800,2.8735108375549316,2.807288885116577,-0.06622195243835449,all,554,0.11237551762419928,0.10213794999597768,0.004339425678069493,0.10387024329518307,0.1208807919532155,0.9025270758122743,0.02707581227436823
exp146-3b-e8,3B E8,4,5,8920,11150,18706595840,23383244800,2.8735108375549316,2.807288885116577,-0.06622195243835449,short,554,0.10707736837024177,0.1250444901344222,0.005312631312962402,0.09666461099683546,0.11749012574364809,0.7111913357400722,0.21660649819494585
exp146-3b-e8,3B E8,4,5,8920,11150,18706595840,23383244800,2.8735108375549316,2.807288885116577,-0.06622195243835449,medium,553,0.11585280010644093,0.12727660106911773,0.005412351619556912,0.10524459093210939,0.12646100928077247,0.7884267631103075,0.11934900542495479
exp146-3b-e8,3B E8,4,5,8920,11150,18706595840,23383244800,2.8735108375549316,2.807288885116577,-0.06622195243835449,long,553,0.10620447387709961,0.13096165161017023,0.005569055908455887,0.09528912429652607,0.11711982345767315,0.8119349005424955,0.06871609403254973
exp146-3b-e8,3B E8,5,6,11150,13380,23383244800,28059893760,2.807288885116577,2.746565818786621,-0.060723066329956055,all,554,0.051349579511417005,0.06981074078408088,0.0029659741670497973,0.0455362701439994,0.05716288887883461,0.8014440433212996,0.05776173285198556
exp146-3b-e8,3B E8,5,6,11150,13380,23383244800,28059893760,2.807288885116577,2.746565818786621,-0.060723066329956055,short,554,0.039533237371430205,0.09306665380995184,0.003954023233585688,0.03178335183360226,0.04728312290925815,0.5036101083032491,0.3285198555956679
exp146-3b-e8,3B E8,5,6,11150,13380,23383244800,28059893760,2.807288885116577,2.746565818786621,-0.060723066329956055,medium,553,0.05516844749702825,0.09712225087041924,0.004130058214770098,0.04707353339607885,0.06326336159797764,0.6618444846292948,0.19710669077757687
exp146-3b-e8,3B E8,5,6,11150,13380,23383244800,28059893760,2.807288885116577,2.746565818786621,-0.060723066329956055,long,553,0.05850588698899176,0.09387199600103566,0.0039918433185636235,0.05068187408460705,0.06632989989337645,0.7179023508137432,0.09764918625678119
exp146-3b-e8,3B E8,6,7,13380,15610,28059893760,32736542720,2.746565818786621,2.714020013809204,-0.03254580497741699,all,554,0.03839556668363486,0.05853892064531666,0.002487080418441562,0.0335208890634894,0.04327024430378033,0.776173285198556,0.0703971119133574
exp146-3b-e8,3B E8,6,7,13380,15610,28059893760,32736542720,2.746565818786621,2.714020013809204,-0.03254580497741699,short,554,0.023106214563993085,0.0758429753581904,0.0032222592560696996,0.016790586422096472,0.029421842705889698,0.40974729241877256,0.4151624548736462
exp146-3b-e8,3B E8,6,7,13380,15610,28059893760,32736542720,2.746565818786621,2.714020013809204,-0.03254580497741699,medium,553,0.042991472568523974,0.08650048466391563,0.0036783747706222976,0.03578185801810427,0.05020108711894368,0.6130198915009042,0.2206148282097649
exp146-3b-e8,3B E8,6,7,13380,15610,28059893760,32736542720,2.746565818786621,2.714020013809204,-0.03254580497741699,long,553,0.045983836099466616,0.08059879692373229,0.0034274094798273746,0.03926611351900496,0.05270155867992827,0.7251356238698011,0.12477396021699819
exp146-3b-e8,3B E8,7,8,15610,17839,32736542720,37411094528,2.714020013809204,2.7024784088134766,-0.011541604995727539,all,554,0.022497185901986703,0.05234745596049101,0.0022240302902644155,0.018138086533068448,0.02685628527090496,0.6498194945848376,0.12454873646209386
exp146-3b-e8,3B E8,7,8,15610,17839,32736542720,37411094528,2.714020013809204,2.7024784088134766,-0.011541604995727539,short,554,0.01919096039446153,0.07006000422923739,0.002976564356049663,0.01335689425660419,0.02502502653231887,0.37184115523465705,0.43862815884476536
exp146-3b-e8,3B E8,7,8,15610,17839,32736542720,37411094528,2.714020013809204,2.7024784088134766,-0.011541604995727539,medium,553,0.024943567644971517,0.08074727262951663,0.003433723309077343,0.018213469959179926,0.03167366533076311,0.5045207956600362,0.27848101265822783
exp146-3b-e8,3B E8,7,8,15610,17839,32736542720,37411094528,2.714020013809204,2.7024784088134766,-0.011541604995727539,long,553,0.021943226861667678,0.05217586618116338,0.002218743519667451,0.017594489563119473,0.026291964160215883,0.6148282097649186,0.15732368896925858
exp117-1_5b-e16,1.5B E16,2,4,4460,8920,9353297920,18706595840,3.031233072280884,2.968775510787964,-0.06245756149291992,all,554,0.0011519959118877,0.029754287075959153,0.0012641385241739546,-0.0013257155954932512,0.0036297074192686513,0.4007220216606498,0.1552346570397112
exp117-1_5b-e16,1.5B E16,2,4,4460,8920,9353297920,18706595840,3.031233072280884,2.968775510787964,-0.06245756149291992,short,554,9.61882485511847e-06,0.05803220768401062,0.0024655522476119273,-0.004822863580464258,0.0048421012301744955,0.2364620938628159,0.5072202166064982
exp117-1_5b-e16,1.5B E16,2,4,4460,8920,9353297920,18706595840,3.031233072280884,2.968775510787964,-0.06245756149291992,medium,553,0.000734962374066632,0.04286419863758598,0.0018227711375727411,-0.0028376690555759407,0.004307593803709204,0.27124773960216997,0.45750452079566006
exp117-1_5b-e16,1.5B E16,2,4,4460,8920,9353297920,18706595840,3.031233072280884,2.968775510787964,-0.06245756149291992,long,553,-0.0008327397713874699,0.032685741269822634,0.0013899391028054976,-0.003557020412886245,0.0018915408701113052,0.3562386980108499,0.29475587703435807
exp117-1_5b-e16,1.5B E16,4,6,8920,13380,18706595840,28059893760,2.968775510787964,2.8245866298675537,-0.14418888092041016,all,554,0.29142688314013204,0.1928185713060484,0.00819207610459277,0.27537041397513023,0.30748335230513385,1.0,0.0
exp117-1_5b-e16,1.5B E16,4,6,8920,13380,18706595840,28059893760,2.968775510787964,2.8245866298675537,-0.14418888092041016,short,554,0.44691103274789123,0.22569722370475961,0.009588956191621216,0.4281166786123137,0.4657053868834688,0.983754512635379,0.016245487364620937
exp117-1_5b-e16,1.5B E16,4,6,8920,13380,18706595840,28059893760,2.968775510787964,2.8245866298675537,-0.14418888092041016,medium,553,0.34608184964008937,0.2231588925830484,0.009489681398975165,0.32748207409809804,0.3646816251820807,0.9638336347197106,0.034358047016274866
exp117-1_5b-e16,1.5B E16,4,6,8920,13380,18706595840,28059893760,2.968775510787964,2.8245866298675537,-0.14418888092041016,long,553,0.2270438673365714,0.21482763550845208,0.009135400310842166,0.20913848272732075,0.24494925194582204,0.9710669077757685,0.0216998191681736
exp117-1_5b-e16,1.5B E16,6,8,13380,17840,28059893760,37413191680,2.8245866298675537,2.768697500228882,-0.055889129638671875,all,554,0.10621058659067457,0.10803229476234416,0.004589852390526249,0.09721447590524313,0.11520669727610602,0.9151624548736462,0.02707581227436823
exp117-1_5b-e16,1.5B E16,6,8,13380,17840,28059893760,37413191680,2.8245866298675537,2.768697500228882,-0.055889129638671875,short,554,0.08454713218938896,0.11270234970630003,0.004788264012676444,0.07516213472454313,0.0939321296542348,0.6768953068592057,0.2184115523465704
exp117-1_5b-e16,1.5B E16,6,8,13380,17840,28059893760,37413191680,2.8245866298675537,2.768697500228882,-0.055889129638671875,medium,553,0.10157259796912044,0.118492642966799,0.005038819725541396,0.0916965113070593,0.11144868463118157,0.755877034358047,0.13562386980108498
exp117-1_5b-e16,1.5B E16,6,8,13380,17840,28059893760,37413191680,2.8245866298675537,2.768697500228882,-0.055889129638671875,long,553,0.11578429343982893,0.14508286600930947,0.006169551026814577,0.10369197342727236,0.1278766134523855,0.8553345388788427,0.05605786618444846
exp117-1_5b-e16,1.5B E16,8,10,17840,22300,37413191680,46766489600,2.768697500228882,2.7385761737823486,-0.030121326446533203,all,554,0.06498533994578204,0.07870745423134352,0.003343959301713241,0.05843117971442409,0.07153950017713999,0.7833935018050542,0.061371841155234655
exp117-1_5b-e16,1.5B E16,8,10,17840,22300,37413191680,46766489600,2.768697500228882,2.7385761737823486,-0.030121326446533203,short,554,0.043149195197378164,0.08510445250704668,0.003615741715412025,0.03606234143517059,0.050236048959585736,0.5108303249097473,0.34115523465703973
exp117-1_5b-e16,1.5B E16,8,10,17840,22300,37413191680,46766489600,2.768697500228882,2.7385761737823486,-0.030121326446533203,medium,553,0.06883325287209781,0.10189803924094712,0.004333145394226207,0.06034028789941444,0.07732621784478118,0.6690777576853526,0.18625678119349007
