worker,cases_complete,cases_planned,last_write_utc,idle_hours
213,16,18,2026-09-18T06:07:05.189000+00:00,0.12
297,14,18,2026-09-18T06:05:58.450000+00:00,0.14
301,15,18,2026-09-18T06:08:56.200000+00:00,0.09
390,17,18,2026-09-18T06:09:38.312000+00:00,0.08
431,8,18,2026-09-18T06:05:57.771000+00:00,0.14
459,5,18,2026-09-18T06:07:16.047000+00:00,0.12
464,10,18,2026-09-18T06:07:31.039000+00:00,0.12
469,8,18,2026-09-18T06:06:38.279000+00:00,0.13
470,8,18,2026-09-18T06:08:17.683000+00:00,0.1
613,12,18,2026-09-18T06:07:09.172000+00:00,0.12
