worker,cases_complete,cases_planned,last_write_utc,idle_hours
213,15,18,2026-09-17T01:09:16.823000+00:00,23.11
297,13,18,2026-09-17T00:09:37.032000+00:00,24.11
301,14,18,2026-09-17T01:09:36.276000+00:00,23.11
390,14,18,2026-09-17T01:09:28.549000+00:00,23.11
431,7,18,2026-09-17T00:17:23.722000+00:00,23.98
446,15,18,2026-09-18T00:06:52.538000+00:00,0.16
459,4,18,2026-09-16T20:56:24.739000+00:00,27.33
464,9,18,2026-09-17T01:08:36.296000+00:00,23.13
469,7,18,2026-09-17T00:09:37.650000+00:00,24.11
470,7,18,2026-09-17T00:44:54.024000+00:00,23.52
613,12,18,2026-09-16T20:57:38.146000+00:00,27.31
