method,n_targets,decoys_per_target,mean_spearman_tmscore,spearman_tmscore_ci_low,spearman_tmscore_ci_high,mean_top1_tmscore,top1_tmscore_ci_low,top1_tmscore_ci_high,mean_top1_gdt_ts,top1_gdt_ts_ci_low,top1_gdt_ts_ci_high,mean_top1_tmscore_regret,top1_tmscore_regret_ci_low,top1_tmscore_regret_ci_high
Helico pTM,9,24,0.8518840579710145,0.801256038647343,0.8956521739130435,0.9243555555555556,0.8895772222222222,0.9567,0.9503333333333334,0.9221083333333333,0.9767805555555555,0.04031111111111114,0.011655555555555567,0.07183333333333336
Helico mean-sample pTM,9,24,0.8523671497584541,0.8015458937198068,0.8961352657004831,0.9243555555555556,0.8895772222222222,0.9567,0.9503333333333334,0.9221083333333333,0.9767805555555555,0.04031111111111114,0.011655555555555567,0.07183333333333336
Helico mean CA pLDDT,9,24,0.8626086956521739,0.815743961352657,0.8995169082125604,0.9341111111111111,0.9022991666666667,0.9610888888888889,0.9607777777777777,0.9388888888888889,0.9803333333333333,0.030555555555555582,0.009244444444444463,0.056100000000000025
Helico composite,9,24,0.8894685990338165,0.836328502415459,0.9348816425120772,0.9577333333333333,0.935966388888889,0.9739891666666667,0.9827777777777778,0.971,0.9918916666666666,0.006933333333333335,0.0,0.020800000000000003
AF2Rank composite,9,24,0.9435748792270531,0.9203864734299517,0.9654130434782607,0.9515111111111111,0.9368330555555555,0.9636672222222222,0.9716666666666667,0.9466638888888889,0.9875555555555555,0.013155555555555563,0.0,0.031911111111111126
AF2 pTM,9,24,0.8503381642512077,0.7927512077294686,0.9048333333333333,0.9242111111111111,0.8962875,0.9484338888888889,0.9445555555555556,0.9146666666666666,0.9717805555555555,0.04045555555555558,0.015277777777777786,0.06658944444444446
DeepAccNet,9,24,0.870577078537492,0.7967606733770193,0.9317897224415499,0.9512,0.9324997222222222,0.9691894444444444,0.9776666666666667,0.9674444444444444,0.9877777777777778,0.01346666666666669,0.0,0.02814444444444448
Rosetta energy,9,24,0.8202898550724638,0.7542004830917874,0.8760386473429952,0.9557,0.9382661111111111,0.9716225000000001,0.9806666666666667,0.9717777777777777,0.989,0.008966666666666678,0.0,0.021133333333333375
