budget,neither,one,both,fold1_seen,fold2_seen,assessable_neither,assessable_one,assessable_both,exact_neither,exact_one,exact_both,expected_neither,expected_one,expected_both
72,18,11,0,9,2,8,9,0,10,7,0,19.7457024437956,9.043509251845682,0.21078830435871715
73,18,11,0,9,2,8,9,0,10,7,0,19.721738616714436,9.064608773894433,0.2136526093911283
74,18,11,0,9,2,8,9,0,10,7,0,19.698140034257246,9.085345783849652,0.2165141818930993
75,18,11,0,9,2,8,9,0,10,7,0,19.674897014852622,9.105729902719135,0.21937308242824471
76,18,11,0,9,2,8,9,0,10,7,0,19.65200029217742,9.12577034099949,0.2222293668230927
77,18,11,0,9,2,8,9,0,10,7,0,19.629440989177294,9.145475924317113,0.22508308650559428
78,18,11,0,9,2,8,9,0,10,7,0,19.607210594061176,9.164855117115588,0.22793428882323763
79,18,11,0,9,2,8,9,0,10,7,0,19.5853009381084,9.18391604455009,0.23078301734151208
80,18,11,0,9,2,8,9,0,10,7,0,19.563704175140444,9.202666512736053,0.23362931212350121
81,18,11,0,9,2,8,9,0,10,7,0,19.542412762521923,9.22111402748665,0.23647320999142765
82,18,11,0,9,2,8,9,0,10,7,0,19.52141944356653,9.239265811662486,0.23931474477098474
83,18,11,0,9,2,8,9,0,10,7,0,19.500717231234308,9.257128821246388,0.24215394751930303
84,18,11,0,9,2,8,9,0,10,7,0,19.48029939301592,9.27470976024669,0.24499084673739097
85,18,11,0,9,2,8,9,0,10,7,0,19.460159436908338,9.292015094523773,0.24782546856789173
86,18,11,0,9,2,8,9,0,10,7,0,19.440291098394507,9.309051064626521,0.25065783697897115
87,18,11,0,9,2,8,9,0,10,7,0,19.420688328346532,9.325823697718327,0.2534879739351396
88,18,11,0,9,2,8,9,0,10,7,0,19.401345281778898,9.342338818665313,0.2563158995557858
89,18,11,0,9,2,8,9,0,10,7,0,19.382256307384193,9.358602060353638,0.2591416322621693
90,18,11,0,9,2,8,9,0,10,7,0,19.363415937789455,9.374618873296946,0.2619651889135993
