issue,model_size,epochs,learning_rate,weight_decay,n_runs,n_batch_sizes,best_val_loss,best_batch_size,best_run_id,best_run_name,best_run_url,is_observed,is_global_best,is_color_clipped
117,1_5b,8,0.0031623,0.4,3,3,2.784169912338257,256,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-3-wd0p4-bs256-us-east5,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-3-wd0p4-bs256-us-east5,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr3p162e-3-wd0p4-bs256-us-east5,True,False,False
117,1_5b,8,0.0031623,0.8,0,0,,,,,,False,False,False
117,1_5b,8,0.0031623,1.6,1,1,3.593348264694214,128,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-3-wd1p6-bs128-europe-west4,prot-exp117-cv1-s02-1_5b-e8-lr3p162e-3-wd1p6-bs128-europe-west4,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr3p162e-3-wd1p6-bs128-europe-west4,True,False,True
117,1_5b,8,0.0031623,3.2,0,0,,,,,,False,False,False
117,1_5b,8,0.01,0.1,3,3,2.778233289718628,128,prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p1-bs128-europe-west4,prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p1-bs128-europe-west4,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p1-bs128-europe-west4,True,False,False
117,1_5b,8,0.01,0.2,3,3,2.859241247177124,128,prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p2-bs128-us-east5,prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p2-bs128-us-east5,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p2-bs128-us-east5,True,False,False
117,1_5b,8,0.01,0.4,2,2,2.893608570098877,128,prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p4-bs128-us-east5,prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p4-bs128-us-east5,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p4-bs128-us-east5,True,False,False
117,1_5b,8,0.01,0.8,2,2,3.146665096282959,64,prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p8-bs64-europe-west4,prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p8-bs64-europe-west4,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd0p8-bs64-europe-west4,True,False,False
117,1_5b,8,0.01,1.6,1,1,3.055086851119995,256,prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd1p6-bs256-us-west4,prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd1p6-bs256-us-west4,https://wandb.ai/eric-czech/marin/runs/prot-exp117-cv1-s02-1_5b-e8-lr1e-2-wd1p6-bs256-us-west4,True,False,False
117,1_5b,8,0.01,3.2,0,0,,,,,,False,False,False
