eval_set,stratum,predictor,range,cut,value,n
eval-val,all,#232 m1-p02 (decontaminated),all,R,0.4731469398933442,97
eval-val,all,#232 m1-p02 (decontaminated),long,AUC,0.8986847672795093,97
eval-val,all,#232 m1-p02 (decontaminated),long,R,0.44804117837866153,97
eval-val,all,#232 m2-p06 (decontaminated),all,AUC,0.930843513349874,97
eval-val,all,#232 m2-p06 (decontaminated),all,R,0.5197991295291134,97
eval-val,all,#232 m2-p06 (decontaminated),long,AUC,0.9182671025307647,97
eval-val,all,#232 m2-p06 (decontaminated),long,R,0.5017295196551887,97
eval-val,all,ESMFold,all,AUC,0.9002066309858588,97
eval-val,all,ESMFold,all,R,0.7503759561708839,97
eval-val,all,ESMFold,long,AUC,0.8944132766093084,97
eval-val,all,ESMFold,long,R,0.7378319398590216,97
eval-val,all,ESMFold2,all,AUC,0.927137340285411,97
eval-val,all,ESMFold2,all,R,0.8015035339266381,97
eval-val,all,ESMFold2,long,AUC,0.9232305052077753,97
eval-val,all,ESMFold2,long,R,0.7919635485946235,97
eval-val,all,Protenix-v2 + MSA,all,AUC,0.9526642775400964,97
eval-val,all,Protenix-v2 + MSA,all,R,0.8460293840998715,97
eval-val,all,Protenix-v2 + MSA,long,AUC,0.9484874247622921,97
eval-val,all,Protenix-v2 + MSA,long,R,0.8341165308412977,97
eval-val,all,Protenix-v2 single-seq,all,AUC,0.6424099879596272,97
eval-val,all,Protenix-v2 single-seq,all,R,0.26319952597011453,97
eval-val,all,Protenix-v2 single-seq,long,AUC,0.6289181779667969,97
eval-val,all,Protenix-v2 single-seq,long,R,0.2351292321707239,97
eval-val,all,seq-KNN (decontaminated corpus),all,AUC,0.7685892524587479,97
eval-val,all,seq-KNN (decontaminated corpus),all,R,0.40714915060349316,97
eval-val,all,seq-KNN (decontaminated corpus),long,AUC,0.7597649492536486,97
eval-val,all,seq-KNN (decontaminated corpus),long,R,0.3921147797801755,97
eval-val,all,seq-KNN (unfiltered corpus),all,AUC,0.8679397712196428,97
eval-val,all,seq-KNN (unfiltered corpus),all,R,0.5836593962012714,97
eval-val,all,seq-KNN (unfiltered corpus),long,AUC,0.8638517656009472,97
eval-val,all,seq-KNN (unfiltered corpus),long,R,0.5790428913888078,97
eval-test,viral,#199 cooldown (contaminated),all,AUC,0.931894792244792,13
eval-test,viral,#199 cooldown (contaminated),all,R,0.49726128073446085,13
eval-test,viral,#199 cooldown (contaminated),long,AUC,0.9229329188500228,13
eval-test,viral,#199 cooldown (contaminated),long,R,0.4858419361566519,13
eval-test,viral,#232 m1-p02 (decontaminated),all,AUC,0.8831552590058003,13
eval-test,viral,#232 m1-p02 (decontaminated),all,R,0.3846957121552264,13
eval-test,viral,#232 m1-p02 (decontaminated),long,AUC,0.862387957454791,13
eval-test,viral,#232 m1-p02 (decontaminated),long,R,0.36773128721134013,13
eval-test,viral,#232 m2-p06 (decontaminated),all,AUC,0.9203205181233067,13
eval-test,viral,#232 m2-p06 (decontaminated),all,R,0.4649131506122589,13
eval-test,viral,#232 m2-p06 (decontaminated),long,AUC,0.91191317792994,13
eval-test,viral,#232 m2-p06 (decontaminated),long,R,0.4519256807282768,13
eval-test,viral,ESMFold,all,AUC,,0
eval-test,viral,ESMFold,all,R,0.607104516234987,13
eval-test,viral,ESMFold,long,AUC,,0
eval-test,viral,ESMFold,long,R,0.5848189216020802,13
eval-test,viral,ESMFold2,all,AUC,,0
eval-test,viral,ESMFold2,all,R,0.6083722604461849,13
eval-test,viral,ESMFold2,long,AUC,,0
eval-test,viral,ESMFold2,long,R,0.5968211562755402,13
eval-test,viral,Protenix-v2 + MSA,all,AUC,,0
eval-test,viral,Protenix-v2 + MSA,all,R,0.8119919747764435,13
eval-test,viral,Protenix-v2 + MSA,long,AUC,,0
eval-test,viral,Protenix-v2 + MSA,long,R,0.7992966110382163,13
eval-test,viral,Protenix-v2 single-seq,all,AUC,,0
eval-test,viral,Protenix-v2 single-seq,all,R,0.26071536755557045,13
eval-test,viral,Protenix-v2 single-seq,long,AUC,,0
eval-test,viral,Protenix-v2 single-seq,long,R,0.21747926119176847,13
eval-test,viral,seq-KNN (decontaminated corpus),all,AUC,0.6427440345656245,13
eval-test,viral,seq-KNN (decontaminated corpus),all,R,0.22933633750814042,13
eval-test,viral,seq-KNN (decontaminated corpus),long,AUC,0.6397198451603143,13
eval-test,viral,seq-KNN (decontaminated corpus),long,R,0.2357734991890928,13
eval-test,viral,seq-KNN (unfiltered corpus),all,AUC,0.6675550834567091,13
eval-test,viral,seq-KNN (unfiltered corpus),all,R,0.2618951106484825,13
eval-test,viral,seq-KNN (unfiltered corpus),long,AUC,0.6673727294283786,13
eval-test,viral,seq-KNN (unfiltered corpus),long,R,0.2623305847036682,13
eval-val,viral,#199 cooldown (contaminated),all,AUC,0.8969515106565654,6
eval-val,viral,#199 cooldown (contaminated),all,R,0.4749867718092802,6
eval-val,viral,#199 cooldown (contaminated),long,AUC,0.872192850921579,6
eval-val,viral,#199 cooldown (contaminated),long,R,0.45675923424071874,6
