k,seconds,mean_plddt,n_true,lddt,tm_score,gdt_ts,rmsd
0,9.92,27.839126586914062,0,0.2208571015631704,0.2926276135596151,0.03333333333333333,9.252564165548767
1,9.95,35.46827697753906,1,0.315572086048896,0.396624304304223,0.21000000000000002,7.104911097147662
2,10.03,36.54158020019531,2,0.33953339746803424,0.4177499654208503,0.20833333333333331,6.939850263865436
3,10.05,33.996429443359375,2,0.316075678947107,0.4142107498757579,0.095,8.612793896644712
4,10.08,34.13733673095703,2,0.37020514071243715,0.47882469165873176,0.2783333333333333,6.124449680494742
5,10.12,36.2939338684082,3,0.3249630773816783,0.42251019205756757,0.12166666666666667,8.28511828683587
6,10.18,38.578617095947266,3,0.2848201744283204,0.3075517754209468,0.055,9.198562421754445
7,10.18,40.936832427978516,3,0.3188725390566779,0.37089349469943117,0.03666666666666667,9.914008061311328
8,10.15,43.06623077392578,3,0.31140333048792057,0.3925753735900045,0.030000000000000002,10.850914172496713
9,10.18,41.76430130004883,4,0.3160813246074008,0.3984089830050391,0.21333333333333332,8.964866728688511
10,10.12,42.962772369384766,5,0.30394428410769214,0.40834235372203614,0.14666666666666667,9.204833493763115
11,10.15,58.989192962646484,5,0.48674398963005117,0.6597525966701147,0.41333333333333333,4.409260494212868
12,10.2,69.0748291015625,6,0.48822654002321497,0.6595651378869084,0.385,5.01065290046986
13,10.13,69.65487670898438,7,0.5005239172752688,0.6803438259600397,0.375,5.040326562607072
14,10.14,65.4585952758789,8,0.48178258336381996,0.6450220685836933,0.3983333333333333,4.822688986333786
15,10.17,83.93766784667969,9,0.6342492852594068,0.8083089216274082,0.5916666666666667,3.785844696202708
16,10.15,81.6600341796875,10,0.7131846492238346,0.914982723418045,0.8283333333333334,1.1602903889528828
17,10.15,84.72114562988281,11,0.6320271533677493,0.8051276783518952,0.59,3.838629239470557
18,10.16,83.8885269165039,11,0.6267992719356485,0.7958129688220076,0.555,3.8552456355948883
19,10.15,83.04922485351562,11,0.6559207168633615,0.7744932227403141,0.5650000000000001,2.341604216319547
20,10.16,83.53026580810547,11,0.6540644237587452,0.8341636226711704,0.6533333333333333,2.8028577826168695
21,10.22,84.22482299804688,12,0.8331447682795189,0.9638952603273805,0.9383333333333334,0.5612922976700183
22,10.15,89.7413330078125,13,0.8552497865940408,0.9670922465023362,0.9500000000000001,0.5826134744994518
23,10.16,89.18107604980469,14,0.8527216599144569,0.9649197721182396,0.9500000000000001,0.5799392714859462
24,10.17,89.64989471435547,15,0.8501517553486986,0.9659714768253224,0.9516666666666667,0.5494437456036988
25,10.15,87.2925033569336,16,0.6611621478801675,0.7616102200604253,0.5433333333333334,2.543738654548068
26,10.14,89.5835952758789,17,0.8566691055919137,0.9667726632696715,0.9533333333333334,0.5686681646322103
27,10.15,89.76405334472656,18,0.8476484695744075,0.9554415283462371,0.9400000000000001,0.7788178594053151
28,10.98,90.41758728027344,18,0.8533144542453107,0.9643860301317627,0.9516666666666667,0.6025113616393493
29,10.16,89.91107177734375,19,0.8501235270472294,0.9633216226541301,0.9450000000000001,0.6043050832964448
30,10.13,89.42780303955078,20,0.84713245622355,0.9657503609195324,0.9500000000000001,0.5719082083990177
31,10.13,89.4317855834961,20,0.8373553017266688,0.9528796589670232,0.9366666666666666,0.7768308761519458
32,10.2,88.6175308227539,21,0.8490350437425759,0.9643282948102905,0.9450000000000001,0.5912601184555274
33,10.13,89.97420501708984,22,0.8551594560293394,0.96333030378411,0.9483333333333334,0.6197625647034977
34,10.14,91.17833709716797,23,0.8669046877046552,0.9702337398803371,0.9500000000000001,0.521599394074887
35,10.2,90.02789306640625,24,0.8576853244448058,0.964713547774358,0.9483333333333334,0.5646949730507879
36,10.14,90.59261322021484,25,0.8662543076388042,0.9695914331799588,0.9583333333333334,0.5377548787999262
37,10.12,89.96324157714844,26,0.8528074739509234,0.9635374892935876,0.9466666666666667,0.6112920712493121
38,10.14,91.0135269165039,27,0.8651500164853281,0.966613960155099,0.95,0.5416551507679723
39,10.17,90.55741882324219,28,0.8619997380413624,0.9666801652090051,0.9516666666666667,0.5431961500435628
40,10.13,86.8789291381836,28,0.699986224588883,0.7900640165857934,0.58,2.1717780245818297
41,10.21,86.77025604248047,29,0.6952348368855829,0.7846953830715816,0.5766666666666667,2.3683844076436484
42,10.21,84.763916015625,30,0.6642062879106088,0.7933179359376581,0.5716666666666667,2.4554952772527203
43,10.17,86.42477416992188,31,0.7056781792971378,0.7939130179938944,0.5983333333333334,2.1625105823567017
44,10.16,89.44184875488281,31,0.8331865461656933,0.9517882595739491,0.93,0.8335986259271919
45,10.15,86.61823272705078,32,0.822460920739446,0.9407990521658085,0.8999999999999999,0.8121845547331746
46,10.18,89.9356460571289,33,0.8492789362672701,0.9576692141273857,0.945,0.801812315484869
47,10.16,90.40717315673828,34,0.8615548600102074,0.969055301711654,0.9550000000000001,0.5514802218663246
48,10.21,91.0787582397461,35,0.8659641206997005,0.9674789511767299,0.9533333333333334,0.5411667010305167
49,10.16,90.75213623046875,36,0.8644793120424192,0.9680800630948128,0.9533333333333334,0.5627826707282626
50,10.18,90.07803344726562,37,0.8676205574299147,0.9702850704108681,0.9516666666666667,0.5148652725164204
51,10.19,90.26537322998047,38,0.8525443861812301,0.9615070383464783,0.9400000000000001,0.6207412937225244
52,10.13,89.89064025878906,39,0.8538665998220488,0.963464068850555,0.9433333333333334,0.5952299132314813
53,10.13,90.61973571777344,40,0.8547563558843587,0.9651464385394584,0.9516666666666667,0.5722093767066666
