population,tier_axis,tier,predictor,range,cut,n,mean,ci_low,ci_high
foldbench_designed,depth_tier,100-1000,seq-KNN (decontaminated corpus),long,R,3,0.05092592592592593,0.0,0.1527777777777778
foldbench_designed,depth_tier,<10,ESMFold2,all,AUC,1,1.0,,
foldbench_designed,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),all,AUC,13,0.9649211492973482,0.9367316998861387,0.9878261428800645
foldbench_designed,depth_tier,<10,Protenix-v2 + MSA,all,AUC,1,0.967239370995923,,
foldbench_designed,depth_tier,<10,Protenix-v2 single-seq,all,AUC,1,0.9669481654047758,,
foldbench_designed,depth_tier,<10,seq-KNN (decontaminated corpus),all,AUC,13,0.5188592851132483,0.49986744148302975,0.5541546546790186
foldbench_designed,depth_tier,<10,ESMFold2,all,R,13,0.8855002026893248,0.8599257913875805,0.9136873571002576
foldbench_designed,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),all,R,13,0.6185203840941278,0.4952833922561381,0.7359212810094403
foldbench_designed,depth_tier,<10,Protenix-v2 + MSA,all,R,13,0.8605094174223602,0.817831291329982,0.8939829992648757
foldbench_designed,depth_tier,<10,Protenix-v2 single-seq,all,R,13,0.8475170952613044,0.8078127572757621,0.8823157894690477
foldbench_designed,depth_tier,<10,seq-KNN (decontaminated corpus),all,R,13,0.043259304930678685,0.003384506972389123,0.11731958750724165
foldbench_designed,depth_tier,<10,ESMFold2,long,R,13,0.8677960451971731,0.8365304410240915,0.9010389478788035
foldbench_designed,depth_tier,<10,MarinFold #232 m2-p06 (step 363k),long,R,13,0.5738779174473044,0.4258519489837358,0.7153463779657223
foldbench_designed,depth_tier,<10,Protenix-v2 + MSA,long,R,13,0.8450577071256149,0.8036036763806571,0.8818944512470736
foldbench_designed,depth_tier,<10,Protenix-v2 single-seq,long,R,13,0.8332188567012164,0.7911202267413271,0.8735776330491332
foldbench_designed,depth_tier,<10,seq-KNN (decontaminated corpus),long,R,13,0.021493212669683254,0.0,0.062217194570135734
foldbench_designed,depth_tier,all,ESMFold2,all,AUC,1,1.0,,
foldbench_designed,depth_tier,all,MarinFold #232 m2-p06 (step 363k),all,AUC,16,0.9627327412925992,0.9388478186246875,0.9829303978456286
foldbench_designed,depth_tier,all,Protenix-v2 + MSA,all,AUC,1,0.967239370995923,,
foldbench_designed,depth_tier,all,Protenix-v2 single-seq,all,AUC,1,0.9669481654047758,,
foldbench_designed,depth_tier,all,seq-KNN (decontaminated corpus),all,AUC,16,0.521066706233436,0.5003528585520285,0.5541843266313606
foldbench_designed,depth_tier,all,ESMFold2,all,R,16,0.8777270613060077,0.8558974712937746,0.9017988549072912
foldbench_designed,depth_tier,all,MarinFold #232 m2-p06 (step 363k),all,R,16,0.5922514897634343,0.4877958337775127,0.6949070358356989
