mode,split,pair_id,N,oracle_fold1,oracle_fold2,oracle_dual,blind_fold1,blind_fold2,blind_dual,mean_pairwise_jaccard,unique_maps,mean_contacts,finished,malformed,invalid_rollouts
full_t11_single,test,1uxmk_2nama,200,True,False,False,True,False,False,0.32956003986432497,200,132.365,200,0,0
full_t11_single,test,6c6sd_2ougc,200,True,False,False,True,False,False,0.4803646552399833,200,142.015,200,3,2
full_t11_single,test,1nrjb_2gedb,200,True,False,False,True,False,False,0.30924380453493905,200,188.505,200,0,0
full_t11_single,test,2vfxl_3gmhl,200,False,False,False,False,False,False,0.04601746415173255,200,211.38,200,4,4
full_t11_single,test,4pyia_4pyja,200,True,False,False,True,False,False,0.2942410918202034,200,215.795,200,0,0
full_t11_single,test,4y0mj_4xwsd,200,True,True,True,True,True,True,0.4942626046895343,200,205.995,200,0,0
full_t11_single,test,1repc_2z9ob,200,True,False,False,True,False,False,0.4830977694683502,200,276.44,200,2,2
full_t11_single,test,2pbkb_3njqa,200,False,False,False,False,False,False,0.019958857475311887,200,211.55,200,3,2
full_t11_single,test,1k0na_1rk4b,200,True,False,False,True,False,False,0.3115621022155967,200,239.205,200,0,0
full_t11_single,test,3tp2a_5lj3m,200,False,False,False,False,False,False,0.08785987492304077,200,251.175,200,7,5
full_t11_single,test,3zxgb_5ec5p,200,False,True,False,False,False,False,0.11536745809501132,200,381.42,200,4,4
full_t11_single,test,5c1va_5c1vb,200,True,False,False,True,False,False,0.34855175371686,200,389.245,200,1,1
full_t11_single,test,4aana_4aala,200,True,False,False,True,False,False,0.22397407121267615,200,311.01,200,1,1
full_t11_single,test,5hmga_3ztje,200,False,False,False,False,False,False,0.01934762176166187,200,398.18,200,10,4
full_t11_single,test,2c1vb_2c1uc,200,True,True,True,True,False,False,0.24597644464871157,200,322.98,200,3,3
full_t11_single,test,3j7wb_3j7vg,200,True,True,True,True,True,True,0.24205298458153174,200,310.38,200,0,0
full_t11_single,test,1kcta_3t1pa,200,True,True,True,True,True,True,0.46045144482653627,200,435.19,200,1,1
full_t11_single,test,1qs8b_1miqb,200,True,True,True,True,False,False,0.19491177638939783,200,540.29,200,13,6
full_t11_single,test,5i2ma_5i2sa,200,False,False,False,False,False,False,0.01911615310521387,200,558.53,200,17,9
full_t11_single,test,3g0ha_3ewsb,200,True,True,True,False,True,False,0.3759804116764349,200,480.19,200,3,3
full_t11_single,test,1qomb_1noca,200,False,False,False,False,False,False,0.019083147649218937,200,572.215,200,17,11
full_t11_single,test,5l35d_5l35g,200,True,False,False,True,False,False,0.2738799427637058,200,430.795,200,0,0
full_t11_single,test,5jzha_5jztg,200,False,True,False,False,True,False,0.019017569274325515,200,609.245,200,11,8
full_t11_single,test,4ydqb_4twaa,200,True,False,False,True,False,False,0.13867437005549502,200,618.12,200,8,4
full_t11_single,test,4o0pa_4o01d,200,False,False,False,False,False,False,0.1568556639122957,200,443.01,200,6,3
full_t11_single,test,3meea_4b3ob,200,False,False,False,False,False,False,0.2955884574529056,200,676.95,200,1,1
full_t11_single,test,2a73b_3l5nb,200,False,False,False,False,False,False,0.10634214455456216,200,1531.375,182,244,70
