subset,predictor,feature,n,rho,p,q
eval-test,#232 m1-p02 (decontaminated),frac_charged,217,-0.10889261237576549,0.10969095275329588,0.23788399392281034
eval-test,#232 m1-p02 (decontaminated),kingdom_eukaryote,217,-0.08806974815075823,0.19622974671908383,0.3616520929293695
eval-test,#232 m1-p02 (decontaminated),n_uniprot_xrefs,217,-0.08498629614189762,0.21241481195711276,0.382346661522803
eval-test,#232 m1-p02 (decontaminated),has_ec,217,-0.08333228162514492,0.2214812719334419,0.3883113209222682
eval-test,#232 m1-p02 (decontaminated),train_best_evalue_log,209,-0.07456216597597655,0.2832880522200354,0.46076972349041895
eval-test,#232 m1-p02 (decontaminated),is_cytoplasmic,205,-0.07237101362937515,0.3024413992575453,0.47753905145928205
eval-test,#232 m1-p02 (decontaminated),frac_helix,217,-0.07167224182092354,0.29323451694155855,0.4684811809125492
eval-test,#232 m1-p02 (decontaminated),exp199_best_identity,209,-0.07048109546145333,0.31054259840659526,0.48747966028942274
eval-test,#232 m1-p02 (decontaminated),is_nuclear,205,-0.06441469745662527,0.35883251378250586,0.5367577768491777
eval-test,#232 m1-p02 (decontaminated),frac_hydrophobic,217,-0.05893558057868873,0.3876361124729245,0.5581960019610113
eval-test,#232 m1-p02 (decontaminated),long_contacts_per_residue,217,-0.046366795214003345,0.4968552210938322,0.6674174611708193
eval-test,#232 m1-p02 (decontaminated),radius_of_gyration,217,-0.03019479051516134,0.6582512141545007,0.8096939764087252
eval-test,#232 m1-p02 (decontaminated),n_go,217,-0.02483015057062571,0.7160712401512523,0.8498427905091787
eval-test,#232 m1-p02 (decontaminated),n_contacts,217,-0.020060211462429336,0.7688891925173708,0.8686195898731804
eval-test,#232 m1-p02 (decontaminated),frac_polar,217,-0.016303591487747838,0.8112640494923946,0.899553566172265
eval-test,#232 m1-p02 (decontaminated),n_long_contacts,217,-0.008345667109463429,0.902715742548894,0.9633725315739184
eval-test,#232 m1-p02 (decontaminated),frac_low_complexity,217,-0.00649955023440788,0.9241620317492767,0.9728021386834491
eval-test,#232 m1-p02 (decontaminated),mean_contact_order,217,-0.0049136557705042605,0.9426297273589364,0.9770058594507209
eval-test,#232 m1-p02 (decontaminated),n_transmembrane,205,-0.0019206415697709356,0.978195511896002,0.9966520309883794
