predictor,feature,importance
#199 cooldown (contaminated),residual_identity_cov40,0.0024202822226561003
#199 cooldown (contaminated),residual_identity_cov30,0.00026601532107025093
#199 cooldown (contaminated),residual_identity_anycov,0.004167647654510864
#199 cooldown (contaminated),n_surviving_alignments,0.06255095128659124
#199 cooldown (contaminated),knn_n_hits,0.04057002552512816
#199 cooldown (contaminated),knn_best_bits,-0.004114556086838911
#199 cooldown (contaminated),knn_best_identity,0.0012460517452848098
#199 cooldown (contaminated),knn_best_qcov,0.024195209263555596
#199 cooldown (contaminated),frac_helix,-0.006354588935602937
#199 cooldown (contaminated),frac_sheet,0.0037628373093923167
#199 cooldown (contaminated),frac_coil,-0.001710918815035828
#199 cooldown (contaminated),n_sse,0.014815429547989187
#199 cooldown (contaminated),radius_of_gyration,0.007831314099987519
#199 cooldown (contaminated),rg_over_length,0.005344981845245097
#199 cooldown (contaminated),msa_depth,0.2855792431813852
#199 cooldown (contaminated),msa_log_depth,0.0
#199 cooldown (contaminated),msa_n_near_identical,-0.0016679740752320177
#199 cooldown (contaminated),msa_mean_coverage,-0.0023025723739632437
#199 cooldown (contaminated),n_pfam,-2.4205227463344746e-05
#199 cooldown (contaminated),n_interpro,0.0012365380991481074
#199 cooldown (contaminated),n_go,0.0015759023537540273
#199 cooldown (contaminated),has_ec,1.1676536924992709e-05
#199 cooldown (contaminated),n_uniprot_domains,0.0008512126404841946
#199 cooldown (contaminated),n_transmembrane,0.0
#199 cooldown (contaminated),has_signal_peptide,0.0
#199 cooldown (contaminated),is_membrane,0.0
#199 cooldown (contaminated),is_secreted,-0.0005812970224988751
#199 cooldown (contaminated),is_cytoplasmic,-3.277824380044925e-05
#199 cooldown (contaminated),is_nuclear,0.0
#199 cooldown (contaminated),kingdom_bacteria,-0.00022705254720367386
#199 cooldown (contaminated),kingdom_eukaryote,0.0005593093461801729
#199 cooldown (contaminated),kingdom_archaea,0.0
#199 cooldown (contaminated),kingdom_virus,0.0
Protenix-v2 single-seq,length,7.568887913945721e-05
Protenix-v2 single-seq,is_viral,0.0
Protenix-v2 single-seq,n_uniprot_xrefs,0.0
Protenix-v2 single-seq,exp199_best_identity,0.0010890241254621984
Protenix-v2 single-seq,exp199_afdb_best_identity,0.001519325028278351
Protenix-v2 single-seq,exp199_esm_atlas_best_identity,-0.005631847251269098
Protenix-v2 single-seq,n_contacts,0.00445090820943429
Protenix-v2 single-seq,contacts_per_residue,-0.0015219333088001663
Protenix-v2 single-seq,resolved_fraction,0.0009062435238202743
Protenix-v2 single-seq,mean_contact_order,0.16579055966542705
Protenix-v2 single-seq,relative_contact_order,0.025822703738882617
Protenix-v2 single-seq,median_contact_separation,0.011053004296559293
Protenix-v2 single-seq,frac_long_contacts,0.0034689164375795835
Protenix-v2 single-seq,n_long_contacts,-0.008564880643328701
Protenix-v2 single-seq,long_contacts_per_residue,-0.0035719101753986073
Protenix-v2 single-seq,frac_hydrophobic,0.01651577106337905
Protenix-v2 single-seq,frac_polar,0.005519259487407699
Protenix-v2 single-seq,frac_charged,-0.007154121601788965
Protenix-v2 single-seq,frac_glycine,0.0028063580404200537
Protenix-v2 single-seq,frac_proline,-0.004441117816243456
Protenix-v2 single-seq,mean_hydropathy,0.011241134799137173
Protenix-v2 single-seq,frac_low_complexity,0.0006831361289888427
Protenix-v2 single-seq,train_n_hits_significant,0.003079974801239546
Protenix-v2 single-seq,train_log_n_hits,0.0
Protenix-v2 single-seq,train_best_evalue_log,-0.006976962996343153
Protenix-v2 single-seq,train_afdb_n_hits,0.0023526884917899225
Protenix-v2 single-seq,train_esm_n_hits,-0.0015253763768027424
Protenix-v2 single-seq,residual_identity_cov40,0.0064552540503884205
Protenix-v2 single-seq,residual_identity_cov30,-0.0060239442957715685
Protenix-v2 single-seq,residual_identity_anycov,0.009516870125033775
Protenix-v2 single-seq,n_surviving_alignments,0.022641007090626525
Protenix-v2 single-seq,knn_n_hits,0.004160494326122105
Protenix-v2 single-seq,knn_best_bits,0.0005682718679450638
Protenix-v2 single-seq,knn_best_identity,0.001504953124697317
Protenix-v2 single-seq,knn_best_qcov,-0.0044096237755052005
Protenix-v2 single-seq,frac_helix,0.09082774599688656
Protenix-v2 single-seq,frac_sheet,0.03863450162431575
Protenix-v2 single-seq,frac_coil,0.07495170854718093
Protenix-v2 single-seq,n_sse,0.06585870840732258
Protenix-v2 single-seq,radius_of_gyration,0.005899282065164077
Protenix-v2 single-seq,rg_over_length,0.04248204748033831
Protenix-v2 single-seq,msa_depth,-0.002959973630045648
Protenix-v2 single-seq,msa_log_depth,0.0
Protenix-v2 single-seq,msa_n_near_identical,0.001348354064006818
Protenix-v2 single-seq,msa_mean_coverage,-0.01817873969292696
Protenix-v2 single-seq,n_pfam,-0.00024201526979297227
Protenix-v2 single-seq,n_interpro,0.005363874557209774
Protenix-v2 single-seq,n_go,-1.3353013837308358e-05
Protenix-v2 single-seq,has_ec,0.0
Protenix-v2 single-seq,n_uniprot_domains,0.002918166513011544
Protenix-v2 single-seq,n_transmembrane,0.00010555736905016322
Protenix-v2 single-seq,has_signal_peptide,0.0014208520029424382
Protenix-v2 single-seq,is_membrane,-0.00038541859325164074
Protenix-v2 single-seq,is_secreted,-4.230543588537305e-05
Protenix-v2 single-seq,is_cytoplasmic,0.0007821801020527014
Protenix-v2 single-seq,is_nuclear,-5.420081007892486e-06
Protenix-v2 single-seq,kingdom_bacteria,-0.0005593965868995632
Protenix-v2 single-seq,kingdom_eukaryote,-0.0037520181252467394
Protenix-v2 single-seq,kingdom_archaea,0.0
Protenix-v2 single-seq,kingdom_virus,0.0
ESMFold,length,0.0030817720418985645
ESMFold,is_viral,0.0
ESMFold,n_uniprot_xrefs,0.0
ESMFold,exp199_best_identity,-0.0028808718046117675
ESMFold,exp199_afdb_best_identity,-0.002899131569343613
ESMFold,exp199_esm_atlas_best_identity,0.06777242866452468
ESMFold,n_contacts,0.004988910432545313
ESMFold,contacts_per_residue,0.0030061895037537282
ESMFold,resolved_fraction,-0.007601588937249326
ESMFold,mean_contact_order,0.0002511628565346702
ESMFold,relative_contact_order,0.013897473514409953
ESMFold,median_contact_separation,-0.0015267663980750828
ESMFold,frac_long_contacts,-0.006083279736277383
ESMFold,n_long_contacts,0.005839274604448072
ESMFold,long_contacts_per_residue,-0.0012349731475722909
ESMFold,frac_hydrophobic,0.004473910488608157
ESMFold,frac_polar,-0.0008657972527810504
ESMFold,frac_charged,-0.001309887642226093
ESMFold,frac_glycine,-0.003612824829709088
ESMFold,frac_proline,-0.005826069024839825
ESMFold,mean_hydropathy,-0.003638556347308847
ESMFold,frac_low_complexity,-0.0036040071146006326
ESMFold,train_n_hits_significant,-0.00898502404703667
ESMFold,train_log_n_hits,0.0
ESMFold,train_best_evalue_log,0.00698170282827566
ESMFold,train_afdb_n_hits,0.0019071699336421998
ESMFold,train_esm_n_hits,0.08429649202358427
ESMFold,residual_identity_cov40,-0.002720495660730801
ESMFold,residual_identity_cov30,-0.00907509877902922
ESMFold,residual_identity_anycov,-0.0037106794193173
ESMFold,n_surviving_alignments,0.001999969269163254
ESMFold,knn_n_hits,0.005760332050909661
ESMFold,knn_best_bits,-0.003210925595960687
ESMFold,knn_best_identity,0.008616746774931702
ESMFold,knn_best_qcov,0.00015051868774965672
ESMFold,frac_helix,0.011858851528485218
ESMFold,frac_sheet,0.010712910449605298
ESMFold,frac_coil,-0.0038155193198626757
ESMFold,n_sse,0.044239338100619
ESMFold,radius_of_gyration,-0.008676612024118426
ESMFold,rg_over_length,-0.021032181481823203
ESMFold,msa_depth,0.20918420872757562
ESMFold,msa_log_depth,0.0
ESMFold,msa_n_near_identical,-0.0011611475356790607
ESMFold,msa_mean_coverage,-0.006904063189327308
ESMFold,n_pfam,8.494682195195891e-05
ESMFold,n_interpro,-0.0005295983190196751
ESMFold,n_go,0.02032401664728239
ESMFold,has_ec,-0.0004159574373040958
ESMFold,n_uniprot_domains,0.0015543965327597608
ESMFold,n_transmembrane,0.0
ESMFold,has_signal_peptide,0.0
ESMFold,is_membrane,-0.0003569381513089748
ESMFold,is_secreted,0.0
ESMFold,is_cytoplasmic,-0.0014436279872965447
ESMFold,is_nuclear,0.0004969248572283064
ESMFold,kingdom_bacteria,0.0006827895476418072
ESMFold,kingdom_eukaryote,0.0
ESMFold,kingdom_archaea,0.0
ESMFold,kingdom_virus,0.0
ESMFold2,length,-0.001875248743903224
ESMFold2,is_viral,0.0
ESMFold2,n_uniprot_xrefs,0.0
ESMFold2,exp199_best_identity,-0.0024326895026202
ESMFold2,exp199_afdb_best_identity,-0.0005500353924118212
ESMFold2,exp199_esm_atlas_best_identity,0.29742268802860883
ESMFold2,n_contacts,0.014898990396484818
ESMFold2,contacts_per_residue,-0.0022203666684172787
ESMFold2,resolved_fraction,-0.002448211096941158
ESMFold2,mean_contact_order,0.013524199503421297
ESMFold2,relative_contact_order,0.040180294754081046
ESMFold2,median_contact_separation,-0.002536286627290882
ESMFold2,frac_long_contacts,0.006251790458556517
ESMFold2,n_long_contacts,0.029294114887847132
ESMFold2,long_contacts_per_residue,-0.0015042645848329706
ESMFold2,frac_hydrophobic,-0.010175020390218803
ESMFold2,frac_polar,0.016173989271392956
ESMFold2,frac_charged,0.010782517786827778
ESMFold2,frac_glycine,-0.006173124042759023
ESMFold2,frac_proline,-0.003235908578183419
