selection,cohort,stem,L,bundle_size,n_contact_neighborhoods,n_stable_clusters,fallback_fraction,mean_cluster_visits,mean_retained_cluster_stability
natural-heldout,eval-val,8dez_A,173,5,657.0,1.0,0.0,24.0,0.5552609595308429
natural-heldout,eval-val,8bsb_A,177,3,642.0,31.0,0.0,14.870967741935484,0.47967416451619116
natural-heldout,eval-val,8bsb_A,177,5,642.0,13.0,0.0,9.461538461538462,0.49560706753441497
natural-heldout,eval-val,7xcd_A,178,3,774.0,39.0,0.0,7.461538461538462,0.4145613861696442
natural-heldout,eval-val,7xcd_A,178,5,774.0,3.0,0.0,4.0,0.4710453039098927
natural-heldout,eval-val,7uvg_A,183,3,735.0,28.0,0.0,9.607142857142858,0.4185742025829765
natural-heldout,eval-val,7uvg_A,183,5,735.0,5.0,0.0,8.6,0.4155257512351575
natural-heldout,eval-val,8bau_A,189,3,426.0,12.0,0.0,13.583333333333334,0.37521985147970627
natural-heldout,eval-val,8bau_A,189,5,426.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7ur2_A,195,3,441.0,16.0,0.0,9.25,0.4164590204234002
natural-heldout,eval-val,7ur2_A,195,5,441.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8cpn_A,207,3,790.0,34.0,0.0,10.735294117647058,0.4646606207967927
natural-heldout,eval-val,8cpn_A,207,5,790.0,14.0,0.0,9.928571428571429,0.5253677484795051
natural-heldout,eval-val,8baq_A,208,3,583.0,20.0,0.0,6.45,0.3630937485302239
natural-heldout,eval-val,8baq_A,208,5,583.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7uba_A,213,3,965.0,44.0,0.0,6.295454545454546,0.40621182199425565
natural-heldout,eval-val,7uba_A,213,5,965.0,1.0,0.0,2.0,0.43002060296201716
natural-heldout,eval-val,8b6a_A,214,3,361.0,12.0,0.0,10.916666666666666,0.40463958775721354
natural-heldout,eval-val,8b6a_A,214,5,361.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8cba_A,214,3,1122.0,57.0,0.0,6.894736842105263,0.43850208715546557
natural-heldout,eval-val,8cba_A,214,5,1122.0,7.0,0.0,4.857142857142857,0.4770608251324262
natural-heldout,eval-val,8cih_A,214,3,1045.0,52.0,0.0,7.903846153846154,0.4700806576292114
natural-heldout,eval-val,8cih_A,214,5,1045.0,10.0,0.0,6.4,0.4796437239312906
natural-heldout,eval-val,8adc_A,215,3,811.0,32.0,0.0,10.53125,0.4034025152088071
natural-heldout,eval-val,8adc_A,215,5,811.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7tjb_A,227,3,323.0,6.0,0.0,10.0,0.3022527304458892
natural-heldout,eval-val,7tjb_A,227,5,323.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8ycm_A,229,3,991.0,39.0,0.0,9.743589743589743,0.4040086286843627
natural-heldout,eval-val,8ycm_A,229,5,991.0,3.0,0.0,7.0,0.4673266647111574
natural-heldout,eval-val,8b61_A,238,3,849.0,33.0,0.0,8.696969696969697,0.40175915510275234
natural-heldout,eval-val,8b61_A,238,5,849.0,3.0,0.0,12.333333333333334,0.4224537715251875
natural-heldout,eval-val,7qp5_A,245,3,635.0,26.0,0.0,12.538461538461538,0.3430294960819422
natural-heldout,eval-val,7qp5_A,245,5,635.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8b2s_A,245,3,409.0,11.0,0.0,11.090909090909092,0.3825914154582106
natural-heldout,eval-val,8b2s_A,245,5,409.0,1.0,0.0,3.0,0.47150940107730904
natural-heldout,eval-val,8arl_A,246,3,1444.0,81.0,0.0,6.580246913580247,0.45428999616052
natural-heldout,eval-val,8arl_A,246,5,1444.0,11.0,0.0,4.545454545454546,0.46597291217054715
natural-heldout,eval-val,8dhj_A,249,3,371.0,5.0,0.0,19.2,0.34799135250077917
natural-heldout,eval-val,8dhj_A,249,5,371.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8b4u_A,277,3,298.0,7.0,0.0,15.714285714285714,0.35244619000387295
natural-heldout,eval-val,8b4u_A,277,5,298.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8q8i_A,282,3,724.0,34.0,0.0,9.352941176470589,0.37150748240298764
natural-heldout,eval-val,8q8i_A,282,5,724.0,3.0,0.0,7.666666666666667,0.5110310220506061
natural-heldout,eval-val,7z65_A,283,3,516.0,20.0,0.0,11.25,0.3647258586600796
natural-heldout,eval-val,7z65_A,283,5,516.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7xg9_A,288,3,1058.0,56.0,0.0,7.375,0.39433055064725997
natural-heldout,eval-val,7xg9_A,288,5,1058.0,3.0,0.0,5.0,0.47738295517016405
natural-heldout,eval-val,7x3h_A,290,3,443.0,12.0,0.0,13.833333333333334,0.340646577843861
natural-heldout,eval-val,7x3h_A,290,5,443.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8eo5_A,290,3,348.0,10.0,0.0,11.6,0.3976047393587666
natural-heldout,eval-val,8eo5_A,290,5,348.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7w15_A,302,3,555.0,19.0,0.0,8.578947368421053,0.3657470016793319
natural-heldout,eval-val,7w15_A,302,5,555.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8daj_A,302,3,535.0,18.0,0.0,8.38888888888889,0.4106211488461193
natural-heldout,eval-val,8daj_A,302,5,535.0,1.0,0.0,9.0,0.7408462623709998
natural-heldout,eval-val,7x4p_A,307,3,689.0,30.0,0.0,13.266666666666667,0.36339535134826645
natural-heldout,eval-val,7x4p_A,307,5,689.0,1.0,0.0,19.0,0.4061789100832642
natural-heldout,eval-val,8ci9_A,312,3,857.0,33.0,0.0,10.606060606060606,0.38153183296700255
natural-heldout,eval-val,8ci9_A,312,5,857.0,2.0,0.0,7.5,0.5306912797325969
natural-heldout,eval-val,8c4y_A,314,3,473.0,10.0,0.0,8.7,0.3652797357244561
natural-heldout,eval-val,8c4y_A,314,5,473.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,8au6_A,321,3,455.0,11.0,0.0,9.181818181818182,0.36923024502389484
natural-heldout,eval-val,8au6_A,321,5,455.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7xz3_A,325,3,1492.0,56.0,0.0,7.875,0.3992085955027217
natural-heldout,eval-val,7xz3_A,325,5,1492.0,1.0,0.0,5.0,0.5103118498951711
natural-heldout,eval-val,8d2z_A,327,3,653.0,25.0,0.0,10.08,0.37876142771871246
natural-heldout,eval-val,8d2z_A,327,5,653.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7v3o_A,328,3,1329.0,65.0,0.0,7.907692307692308,0.41544593801767715
