arm,source,n,lddt,precision,recall,pairs_over_L,vs_mf_L_mean_delta,vs_mf_L_lo,vs_mf_L_hi,vs_mf_L_targets_better
mf_L5,exp14,95,0.563786191471505,0.7873797574134079,0.17575589675600015,0.1982069352726033,-0.041504519431515514,-0.06036203375976538,-0.022791871717191922,0.2631578947368421
mf_L2,exp14,95,0.5968705355131118,0.6640919868789209,0.3708917029359842,0.49892115346466553,-0.008420175389908706,-0.018365977999297244,0.0009062744789690481,0.4421052631578947
mf_L,exp14,95,0.6052907109030204,0.49282901310890537,0.547727951404477,1.0,,,,
mf_1p5L,exp256,95,0.607266422524151,0.38244710070041504,0.635633585562583,1.4989211534646651,0.0019757116211304646,-0.004832370674882178,0.008640251806317584,0.5263157894736842
mf_2L,exp256,95,0.6043953018423806,0.3098318095224502,0.6857611963328407,2.0,-0.0008954090606399588,-0.007968603276501677,0.00604449427655442,0.5052631578947369
mf_3L,exp256,95,0.5998783621964581,0.23003453800957155,0.7465970701623093,2.9561612910511443,-0.005412348706562275,-0.013298070021102122,0.0022172322535278016,0.4842105263157895
mf_5L,exp256,95,0.5918140711414528,0.16292998552499266,0.8047963004802803,4.707133412158136,-0.013476639761567667,-0.024314161242243327,-0.0034138144074815826,0.4
mf_union,exp256,95,0.5807638429975666,0.10654734453679729,0.9221882398946868,14.045253028395962,-0.024526867905454053,-0.0346487406251029,-0.014577905371165368,0.25263157894736843
