pair_id,mode,rollout,rank
4gqcc_4gqcb,b32_e0p05_d20_w10,55,16
4qhfa_4qhha,b32_e0p05_d20_w10,85,1
4qhfa_4qhha,b32_e0p05_d20_w10,39,2
4qhfa_4qhha,b32_e0p05_d20_w10,36,3
4qhfa_4qhha,b32_e0p05_d20_w10,86,4
4qhfa_4qhha,b32_e0p05_d20_w10,71,5
4qhfa_4qhha,b32_e0p05_d20_w10,50,6
4qhfa_4qhha,b32_e0p05_d20_w10,70,7
4qhfa_4qhha,b32_e0p05_d20_w10,90,8
4qhfa_4qhha,b32_e0p05_d20_w10,34,9
4qhfa_4qhha,b32_e0p05_d20_w10,9,10
4qhfa_4qhha,b32_e0p05_d20_w10,41,11
4qhfa_4qhha,b32_e0p05_d20_w10,5,12
4qhfa_4qhha,b32_e0p05_d20_w10,81,13
4qhfa_4qhha,b32_e0p05_d20_w10,27,14
4qhfa_4qhha,b32_e0p05_d20_w10,8,15
4qhfa_4qhha,b32_e0p05_d20_w10,16,16
