model,n_documents,docs_with_any_retraction,frac_docs_with_retraction,mean_retracts_per_doc,mean_contacts_per_doc,n_emitted_pairs,fp_base_rate,retract_precision_fp,retract_recall_fp,retract_enrichment,retracted_tp_count,mean_retract_distance,median_retract_distance,frac_immediate_retractions,recovery_rate,n_retract_absent,enrichment_ci_low,enrichment_ci_high,unrestricted_n_documents,unrestricted_docs_with_any_retraction,unrestricted_frac_docs_with_retraction,unrestricted_mean_retracts_per_doc,unrestricted_mean_contacts_per_doc,unrestricted_n_emitted_pairs,unrestricted_fp_base_rate,unrestricted_retract_precision_fp,unrestricted_retract_recall_fp,unrestricted_retract_enrichment,unrestricted_retracted_tp_count,unrestricted_mean_retract_distance,unrestricted_median_retract_distance,unrestricted_frac_immediate_retractions,unrestricted_recovery_rate,unrestricted_n_retract_absent
exp160-bt50,554,535,0.9657039711191335,2404.0270758122742,18065.149819494585,9805535,0.795683866306122,0.9021164379044627,0.13675423020399877,1.1337623849185765,115771,18.968251714020674,9.0,0.001071168495257549,0.21663363015830328,8043,1.1105664836408904,1.1611734707730303,554,535,0.9657039711191335,2420.149819494585,18342.14440433213,9958068,0.7988134847040611,0.902792763215897,0.1351664104430132,1.130167154790029,115771,19.027394772721987,9.0,0.0010347702307335013,0.21547758135402573,8100
exp120-base,554,0,0.0,0.0,16441.005415162454,9105487,0.7614239633750507,,0.0,,0,,,,,0,,,554,0,0.0,0.0,16691.714801444043,9244337,0.7650073769487201,,0.0,,0,,,,,0
