group,layer,head,mass_self,mass_prev1,mass_prev2,mass_prev3,mass_bos,mass_local_window
struct_pos,0,0,3.0244775477500977e-05,1.2276969374970708e-05,1.1057108526376128e-05,1.443788711233679e-05,0.9949929756030702,2.3334077901346836e-05
struct_pos,0,1,3.016949192884873e-06,4.845566094062776e-06,5.461647285712451e-06,2.791509284967751e-06,0.9991055735616615,1.0307213379775227e-05
struct_pos,0,2,0.001535528953599487,0.0008363454872732684,0.0008066912384471165,0.00143536648514101,0.0029974629866080385,0.0016430367257203849
struct_pos,0,3,5.4313022640146085e-05,4.357895339891411e-05,4.072300894097951e-05,4.952481479707573e-05,0.9710778825915389,8.430196233989362e-05
struct_pos,0,4,7.271286176077414e-05,0.0005265539103563418,0.0005393715534970487,0.0001533558674856359,0.6108962158423582,0.0010659254638533905
struct_pos,0,5,6.62900957941883e-05,0.0002555784125494072,0.00027669321791955426,0.00012801936116523443,0.82296907249742,0.0005322716304689615
struct_pos,0,6,0.00013875484397352295,0.000791449481222521,0.0007811736314767977,0.00018045602776485008,0.5548588425013303,0.0015726231126993186
struct_pos,0,7,0.00023518303568764246,0.0008870832414449922,0.0008744650565556821,0.00024672412727762424,0.4077063955143632,0.0017615482980006744
struct_pos,0,8,6.097087382524677e-08,9.093764275715792e-08,1.034287542143436e-07,5.5987663188085664e-08,0.9999702697690919,1.9436639697150154e-07
struct_pos,0,9,1.0216821616452832e-08,2.1472403769270417e-08,2.275906635906684e-08,9.307850366160437e-09,1.0,4.4231470128337256e-08
struct_pos,0,10,1.4727263148896218e-06,7.977387902309544e-07,8.281016905070814e-07,1.419957151184745e-06,0.9999647268446853,1.625840480738036e-06
struct_pos,0,11,7.187727988216093e-08,8.256665518588497e-08,8.523850693685361e-08,7.405425034937302e-08,0.999988410248968,1.6780516212273859e-07
struct_pos,0,12,0.000189823950991665,0.0024857653845082373,0.0029340639356735198,0.00046378261841241545,0.022321545671752364,0.005419829320181757
struct_pos,0,13,0.00028868079554554847,0.0013678546906501763,0.0013896566426421836,0.0004335731360196329,0.03976706589953695,0.0027575113332923597
struct_pos,0,14,0.0002967766471691545,0.0016261199556514084,0.0016582289593384608,0.000367373597142128,0.047215763629405494,0.003284348914989869
struct_pos,0,15,0.0001495017970924653,0.0018294312932573729,0.0022694448968328313,0.0016735778319946384,0.005611831112788804,0.004098876190090204
struct_pos,0,16,1.4040742157905587e-05,1.273983301377641e-05,1.283923608046198e-05,1.4428743252567216e-05,0.9896417859907121,2.5579069094238388e-05
struct_pos,0,17,1.3849769129780178e-05,1.2594234809602377e-05,1.2699414190708422e-05,1.42229690194376e-05,0.9898458663893189,2.52936490003108e-05
struct_pos,0,18,1.4108904590301592e-05,1.2842985879249249e-05,1.2942761859411549e-05,1.4495408264353056e-05,0.9895641850490197,2.5785747738660795e-05
struct_pos,0,19,1.3447724190474295e-05,1.1619316438987652e-05,1.171551369922572e-05,1.3770274164383872e-05,0.9900746379966461,2.3334830138213372e-05
struct_pos,0,20,0.0001120025866787008,0.001086173135060644,0.001371649496634063,0.00011224374251961093,0.00964129081820556,0.002457822631694707
struct_pos,0,21,2.6653038282081932e-05,0.006242157074443081,0.007249513800545251,2.6262109624404532e-05,0.013691652916041198,0.013491670874988333
struct_pos,0,22,8.463727885047964e-05,0.0002511114399145877,0.00026177486906479755,8.665697727932896e-05,0.015101999905579354,0.0005128863089793852
struct_pos,0,23,6.567746841985929e-05,0.0019361868200840964,0.0006438395771571849,4.5617566356518074e-05,0.00018991366455521746,0.0025800263972412816
struct_pos,0,24,6.815283412955183e-08,2.917668201479584e-08,2.1486361923018027e-08,8.15031193733197e-09,1.4848553988247545e-08,5.066304393781387e-08
struct_pos,0,25,2.5858759103648452e-14,0.007613919221702867,0.00757370251005033,2.910630500396778e-14,3.1951087809510346e-11,0.015187621731753198
struct_pos,0,26,0.0006412761622292092,0.0004687765065361472,0.0004577450954016025,0.0005791688605112681,0.011055363751601878,0.0009265216019377497
struct_pos,0,27,0.0003309522220101765,0.0005327596322424763,0.0005330747864194698,0.00032012610551127463,0.034111277945147456,0.0010658344186619461
struct_pos,0,28,0.0004082732171712153,0.0012166368706830392,0.00157693246431395,0.0025077233066007694,0.0003562116158320746,0.0027935693349969894
struct_pos,0,29,0.0002501016180920035,0.0011919412340957315,0.0014145746212010535,0.0022986512419732115,0.0003021122523467177,0.002606515855296785
struct_pos,0,30,0.00013539967702853544,0.002914441505329774,0.0030241208410484504,0.0008757849126838924,0.001539979437587185,0.005938562346378224
struct_pos,0,31,0.00011866103177284677,0.0036129289305739114,0.003736132223416654,0.00033443853628155616,0.0009538893279368663,0.007349061153990566
struct_pos,1,0,0.09789594998669698,0.003930121148918189,0.013505108216229607,0.017050752175973787,0.00013301041725949914,0.017435229365147797
struct_pos,1,1,3.6077413722080475e-07,7.010823182924579e-07,6.203771326918576e-07,6.70610921762955e-07,1.0589229805472858e-06,1.3214594509843154e-06
struct_pos,1,2,0.01366210328290091,0.6802145167647008,0.18872926626412123,6.925807455162949e-06,9.854399004316001e-08,0.868943783028822
struct_pos,1,3,0.0009692331124986143,0.001132988333531489,0.0010852005495617725,0.0005784328919772917,0.00023925593949400726,0.0022181888830932616
struct_pos,1,4,0.0005000487077592942,0.006453361181528822,0.004374375707163284,0.004202277091080928,8.36127001243875e-06,0.010827736888692107
struct_pos,1,5,0.0016574610497560294,0.001143365965769756,0.002086632286262832,0.0024173034016731106,3.83525440636138e-06,0.003229998252032588
struct_pos,1,6,0.004419237221480646,0.0013570482059313664,0.0024561537593080288,0.002090626802791383,2.8796942578532548e-06,0.003813201965239395
struct_pos,1,7,0.0007305308730486623,0.006463820627968378,0.003856367878500522,0.004030785947207696,2.4144102268829105e-06,0.0103201885064689
struct_pos,1,8,0.0030413904180221635,0.0030080083723038713,0.0024177184168891397,0.0013265165628171434,0.0008592449197828216,0.005425726789193011
struct_pos,1,9,0.012820063729773365,0.002054218439264194,0.0031391355844351035,0.0057753521806807465,0.0002374961910725132,0.005193354023699298
struct_pos,1,10,0.006014553755060438,0.005647311315816992,0.003469653250755294,0.006926747060105035,0.0002785520272481306,0.009116964566572286
struct_pos,1,11,0.0012127517100704221,0.0003321571064146064,0.0004246557829180738,0.0006816384754498308,0.008429522115748734,0.0007568128893326802
struct_pos,1,12,0.00014237652872030703,0.001085946507467451,0.0013718139187993156,0.00096490470090856,4.2857968018840045e-06,0.0024577604262667665
struct_pos,1,13,0.00023682990473751806,0.002607235129465137,0.0027326507334308114,0.002158490135512239,9.8505314733637e-06,0.005339885862895948
struct_pos,1,14,0.0001412097872734662,2.461722263849126e-05,3.113126801158676e-05,4.351740253424143e-05,9.359406782251708e-06,5.5748490650078017e-05
struct_pos,1,15,1.7564665286052097e-08,3.040526600776123e-05,6.415917154050013e-05,0.00011446420966557168,7.536553909740853e-08,9.456443754826136e-05
struct_pos,1,16,0.029102963190698772,0.0007503599397476736,0.002113041082556649,0.0027985762385699525,1.9360697828143136e-06,0.0028634010223043227
struct_pos,1,17,0.221746517531766,1.6830841565199035e-05,0.0009704973720210163,0.001208716609526783,8.043138827454353e-08,0.0009873282135862153
struct_pos,1,18,6.50766394153344e-06,6.476378817278488e-05,6.327244500707454e-05,6.5967515512235974e-06,4.7973429465087824e-05,0.00012803623317985942
