arm,val_nll_mean,sequence_nll_mean,structure_nll_mean,end_nll_mean,p_end_early_mean,val_nll_sd,sequence_nll_sd,structure_nll_sd,end_nll_sd,p_end_early_sd,seeds,val_nll_delta,structure_nll_delta,sequence_nll_delta,val_nll_delta_in_sds,pooled_seed_sd
a-rope,4.068115421581654,4.328884724392086,3.9984047400799363,4.269702178933295,0.0011100526163567266,0.0010325459514439553,0.0017869718632094996,0.0008665071694416694,0.11382045814379106,0.0001091617290550186,3,0.0,0.0,0.0,0.0,0.06984454113295939
b-rope-smear,4.034020815078121,4.330984194418928,3.95463455463646,4.318735175776022,0.0010625500575863205,0.02406602877199243,0.0012530212201273348,0.03083243580857096,0.05861875466747405,9.921606760959534e-05,3,-0.034094606503532354,-0.04377018544347644,0.0020994700268417432,-0.48814991050808454,0.06984454113295939
c-nope-smear,3.91163500421421,4.3337661846552,3.798787935881586,4.21313820729334,0.0011911169598128376,0.001963716602329931,0.001897067346983112,0.0023008251221841407,0.5715543955672417,0.0006293433900842962,3,-0.1564804173674439,-0.19961680419835037,0.004881460263113979,-2.240410128395866,0.06984454113295939
d-nope,4.153425234605328,4.33052244971305,4.106082412557551,4.549728290086811,0.0010961157044425739,0.1375824975402182,0.004016220288603902,0.17535894079937966,0.44523895341321595,4.0506511657776757e-05,3,0.08530981302367469,0.10767767247761428,0.0016377253209638454,1.2214242035218597,0.06984454113295939
