mode,groups,n_rollouts,generated_tokens,empty_rollouts,budget_terminated_rollouts,novel_generated_pairs,copied_context_pairs,generation_seconds,probability_probe_seconds,budget_termination_rate,empty_rate,novel_pairs_per_rollout
false_large,194,19400,20801967,1,155,6889577,5520,1387.8895988119766,483.09782256465405,0.007989690721649484,5.154639175257732e-05,355.1328350515464
false_small,194,19400,16841903,0,0,5598781,354,981.24397776369,477.75994988996536,0.0,0.0,288.5969587628866
iid,194,19400,15489656,0,0,5153171,0,920.6618707319722,484.0827803853899,0.0,0.0,265.6273711340206
iid_repeat,194,19400,15510297,0,0,5160003,0,860.735312147066,0.0,0.0,0.0,265.9795360824742
pred_large,194,19400,4572888,856,0,1516913,474,307.0957522103563,484.4937424585223,0.0,0.044123711340206186,78.19139175257732
pred_small,194,19400,13533823,363,0,4501890,117,775.0568264983594,478.42284158524126,0.0,0.01871134020618557,232.05618556701032
true_large,194,19400,10418702,0,0,3463765,1001,632.8755370322615,490.1601542122662,0.0,0.0,178.54458762886597
true_small,194,19400,15106619,0,0,5025555,122,840.4970786208287,480.021988498047,0.0,0.0,259.0492268041237
