arm,seed_range,seed_accuracy,rollout_precision,n_proteins,mean_rollouts_per_protein,iid_rollout_precision
seeded top-100,long,0.5784743481247477,0.3918767011373059,97,56.845360824742265,0.3868005991097526
seeded top-100,medium,0.5720588568311784,0.3898603144111877,97,22.216494845360824,0.3868005991097526
seeded top-100,short,0.5942078578993927,0.3871707230679146,97,20.938144329896907,0.3868005991097526
seeded long-range,long,0.4909278350515461,0.38974349601128033,97,100.0,0.3868005991097526
seeded 1/3 per range,long,0.6349302607640993,0.39338295362895515,97,34.0,0.3868005991097526
seeded 1/3 per range,medium,0.4898469228366136,0.3884166546666474,97,33.0,0.3868005991097526
seeded 1/3 per range,short,0.46048109965635753,0.38850700641143643,97,33.0,0.3868005991097526
