scope,arm,top_R_turnover,vote_frequency_MAD,vote_frequency_L1,probability_MAD,probability_L1
full_continuation,false_large,0.9397206741524611,0.01995508317179176,513.7996907216494,0.00015935613608402443,1.5034922263110104
full_continuation,false_small,0.49716992565263923,0.013014188553646678,259.1978350515464,0.00012989884579976945,0.9861279278152932
full_continuation,iid_repeat,0.13302987405341438,0.0035544616953947553,89.84809278350515,,
full_continuation,pred_large,0.5196581579993045,0.008388141540630535,191.0976288659794,0.00013032998299650894,1.159467684318687
full_continuation,pred_small,0.19191143203859712,0.004768358303589924,89.11061855670103,7.45283018691812e-05,0.39614672013568114
full_continuation,true_large,0.4945607106670071,0.009488462239355257,215.62319587628866,0.00013295820445642748,1.1284381596422983
full_continuation,true_small,0.26409773430288525,0.006483196073734427,121.35046391752579,8.542811355365894e-05,0.5093017220502819
withheld_continuation,false_large,0.9746900219066936,0.01659701881118737,439.2795360824743,0.00013054912877605315,1.2514889639276192
withheld_continuation,false_small,0.657375136192837,0.010749180634639123,222.9842783505155,0.00010570441368363531,0.8168012848345501
withheld_continuation,iid_repeat,0.21861924191546875,0.0033200698892432,84.2332474226804,,
withheld_continuation,pred_large,0.35530463302016946,0.005061659897239524,121.5018556701031,9.142333195095416e-05,0.8450054764596087
withheld_continuation,pred_small,0.2317751122580216,0.0035339104874069303,74.36134020618557,4.80119721869168e-05,0.2610017785083827
withheld_continuation,true_large,0.528667221893839,0.007207389606189892,171.90788659793816,9.814164338321002e-05,0.872388620764592
withheld_continuation,true_small,0.3625188735523849,0.0053320126348979655,106.10860824742268,6.5501325093246e-05,0.40984601087289557
