seed_rank_bucket,seed_accuracy,rollout_precision,n_rollouts,iid_rollout_precision
1-10,0.7917525773195876,0.39313071341478106,970,0.3868005991097526
11-20,0.6958762886597938,0.38981013734814746,970,0.3868005991097526
21-40,0.6463917525773196,0.39208979934813964,1940,0.3868005991097526
41-70,0.5573883161512028,0.391650551598913,2910,0.3868005991097526
71-100,0.4601374570446735,0.3890101489718255,2910,0.3868005991097526
