model,R_all,AUC_all,R_long,AUC_long,fit_on
votes only (exp82 recipe),0.5216780679470897,0.9309677647491209,0.5041755482653535,0.917978622530708,all
pairwise only,0.45893081312147893,0.9432838655022041,0.44010683354148544,0.9353750379355591,all
emission rank only,0.020384533316616372,0.8834917002598925,0.01807805393417397,0.8760564524612503,all
quality-weighted votes only (unfitted),0.5231534028062726,0.931449552426217,0.5046269257204612,0.918508159313637,all
fitted: votes + pairwise (5-fold CV),0.5151735122003124,0.9514183875063545,0.4983345622627573,0.9435146212045943,all
fitted: votes + pairwise + rank (5-fold CV),0.5146629429150051,0.950648736291357,0.49659150449463574,0.9430929523014884,all
fitted: + quality-weighted votes (5-fold CV),0.5159609023535368,0.9510411432264898,0.4970821946326274,0.9435596410413838,all
fitted: quality-weighted votes only (5-fold CV),0.5231534028062726,0.931449552426217,0.5046269257204612,0.918508159313637,all
