dataset,stem,arm,range,L,n_rollouts,n_true,n_candidates,n_voted,n_unvoted,n_unvoted_negative,n_union_true,union_recall
foldbench_monomer,7x4p_A,iid,all,307,100,333,45150,3615,41535,41524,322,0.9669669669669669
foldbench_monomer,7x4p_A,iid,long,307,100,241,39903,2641,37262,37255,234,0.970954356846473
foldbench_monomer,7x8l_A,iid,all,514,100,580,127777,9846,117931,117884,533,0.9189655172413793
foldbench_monomer,7x8l_A,iid,long,514,100,440,118894,7936,110958,110913,395,0.8977272727272727
foldbench_monomer,7xcd_A,iid,all,178,100,148,14878,4603,10275,10233,106,0.7162162162162162
foldbench_monomer,7xcd_A,iid,long,178,100,103,11935,3603,8332,8295,66,0.6407766990291263
foldbench_monomer,7xg9_A,iid,all,288,100,241,39340,4807,34533,34508,216,0.8962655601659751
foldbench_monomer,7xg9_A,iid,long,288,100,201,34453,3669,30784,30760,177,0.8805970149253731
foldbench_monomer,7xi5_A,iid,all,65,100,42,1326,156,1170,1169,41,0.9761904761904762
foldbench_monomer,7xi5_A,iid,long,65,100,23,561,96,465,464,22,0.9565217391304348
foldbench_monomer,7xjr_A,iid,all,337,100,354,45150,2985,42165,42148,337,0.9519774011299436
foldbench_monomer,7xjr_A,iid,long,337,100,275,39903,2282,37621,37605,259,0.9418181818181818
foldbench_monomer,7xlz_A,iid,all,266,100,265,27759,2089,25670,25660,255,0.9622641509433962
foldbench_monomer,7xlz_A,iid,long,266,100,174,23879,1436,22443,22434,165,0.9482758620689655
foldbench_monomer,7xp9_A,iid,all,84,100,45,2485,925,1560,1559,44,0.9777777777777777
foldbench_monomer,7xp9_A,iid,long,84,100,27,1378,619,759,758,26,0.9629629629629629
foldbench_monomer,7xq4_A,iid,all,514,100,472,116915,8428,108487,108448,433,0.9173728813559322
foldbench_monomer,7xq4_A,iid,long,514,100,335,108671,7010,101661,101625,299,0.8925373134328358
foldbench_monomer,7xrx_A,iid,all,398,100,396,77028,5563,71465,71450,381,0.9621212121212122
foldbench_monomer,7xrx_A,iid,long,398,100,302,70125,4247,65878,65872,296,0.9801324503311258
foldbench_monomer,7xyr_A,iid,all,591,100,707,146099,5505,140594,140580,693,0.9801980198019802
foldbench_monomer,7xyr_A,iid,long,591,100,527,136844,4306,132538,132526,515,0.9772296015180265
foldbench_monomer,7xz3_A,iid,all,325,100,316,35832,10441,25391,25341,266,0.8417721518987342
foldbench_monomer,7xz3_A,iid,long,325,100,254,31744,8290,23454,23405,205,0.8070866141732284
foldbench_monomer,7y3h_A,iid,all,413,100,312,76245,2819,73426,73412,298,0.9551282051282052
foldbench_monomer,7y3h_A,iid,long,413,100,199,69378,2081,67297,67291,193,0.9698492462311558
foldbench_monomer,7y4h_A,iid,all,338,100,320,52353,3958,48395,48380,305,0.953125
foldbench_monomer,7y4h_A,iid,long,338,100,226,46854,2962,43892,43881,215,0.9513274336283186
foldbench_monomer,7y54_A,iid,all,100,100,105,4465,363,4102,4100,103,0.9809523809523809
foldbench_monomer,7y54_A,iid,long,100,100,58,2926,217,2709,2707,56,0.9655172413793104
foldbench_monomer,7y5j_A,iid,all,102,100,91,4005,368,3637,3634,88,0.967032967032967
foldbench_monomer,7y5j_A,iid,long,102,100,50,2556,209,2347,2344,47,0.94
foldbench_monomer,7y5m_A,iid,all,170,100,148,11175,1512,9663,9644,129,0.8716216216216216
foldbench_monomer,7y5m_A,iid,long,170,100,107,8646,973,7673,7654,88,0.822429906542056
foldbench_monomer,7y5r_A,iid,all,105,100,97,4950,381,4569,4566,94,0.9690721649484536
foldbench_monomer,7y5r_A,iid,long,105,100,60,3321,243,3078,3075,57,0.95
foldbench_monomer,7y8h_A,iid,all,100,100,83,3767,259,3508,3507,82,0.9879518072289156
foldbench_monomer,7y8h_A,iid,long,100,100,49,2486,136,2350,2350,49,1.0
foldbench_monomer,7y8i_A,iid,all,97,100,83,2941,213,2728,2728,83,1.0
foldbench_monomer,7y8i_A,iid,long,97,100,47,1906,132,1774,1774,47,1.0
foldbench_monomer,7yd4_A,iid,all,185,100,142,15063,4819,10244,10227,125,0.8802816901408451
foldbench_monomer,7yd4_A,iid,long,185,100,101,12156,3629,8527,8512,86,0.8514851485148515
foldbench_monomer,7yhr_A,iid,all,60,100,41,1431,490,941,941,41,1.0
foldbench_monomer,7yhr_A,iid,long,60,100,23,630,266,364,364,23,1.0
foldbench_monomer,7ykm_A,iid,all,105,100,55,2850,218,2632,2632,55,1.0
foldbench_monomer,7ykm_A,iid,long,105,100,34,1653,140,1513,1513,34,1.0
foldbench_monomer,7ylr_A,iid,all,330,100,364,51365,2272,49093,49085,356,0.978021978021978
foldbench_monomer,7ylr_A,iid,long,330,100,242,45776,1670,44106,44099,235,0.9710743801652892
foldbench_monomer,7yug_A,iid,all,118,100,94,6216,2277,3939,3928,83,0.8829787234042553
foldbench_monomer,7yug_A,iid,long,118,100,50,4371,1495,2876,2866,40,0.8
foldbench_monomer,7yyg_A,iid,all,365,100,221,36330,9605,26725,26691,187,0.8461538461538461
foldbench_monomer,7yyg_A,iid,long,365,100,140,31749,7991,23758,23726,108,0.7714285714285715
foldbench_monomer,7z65_A,iid,all,283,100,320,38503,2530,35973,35963,310,0.96875
