range,cut,subset,predictor,n,n_valid,mean,sem,n_pairs,delta_marinfold_minus_comparator,ci_lo,ci_hi,significant,split
all,R,no_or_remote_homolog,Protenix-v2 + MSA,239,239,0.7648581671193156,0.012815560481949444,239.0,-0.216142210981261,-0.24716738227495982,-0.1835503088081316,True,all
all,R,no_or_remote_homolog,seq-KNN k=10 (null),239,239,0.035459329651979316,0.005886210128586629,239.0,0.5132566264860752,0.4798343762524646,0.546522074295538,True,all
long,AUC,no_or_remote_homolog,"MarinFold #199 (1.5B, seq only)",238,238,0.9158937193678582,0.0061628566625354705,,,,,,all
long,AUC,no_or_remote_homolog,Protenix-v2 single-seq,238,238,0.8872956686836886,0.009102949091094631,238.0,0.02859805068416961,0.014587736735178537,0.04369624191430769,True,all
long,AUC,no_or_remote_homolog,ESMFold,238,238,0.8545400812257334,0.010993411474885037,238.0,0.06135363814212494,0.044795298518444826,0.07834157075264522,True,all
long,AUC,no_or_remote_homolog,ESMFold2,238,238,0.8964539379925406,0.00813813470030418,238.0,0.019439781375317693,0.006783459551263133,0.0325954592129595,True,all
long,AUC,no_or_remote_homolog,Protenix-v2 + MSA,238,238,0.9156080827595222,0.006958234808285066,238.0,0.0002856366083359077,-0.014151682292002647,0.01514975019844008,False,all
long,AUC,no_or_remote_homolog,seq-KNN k=10 (null),238,238,0.5084281288794422,0.002483046617825378,238.0,0.4074655904884161,0.3943849990971499,0.41984774578340056,True,all
long,R,no_or_remote_homolog,"MarinFold #199 (1.5B, seq only)",238,238,0.49098176766385715,0.0177001732567038,,,,,,all
long,R,no_or_remote_homolog,Protenix-v2 single-seq,238,238,0.7030653062934444,0.017344885212484364,238.0,-0.21208353862958745,-0.2434907758685682,-0.1803601818434292,True,all
long,R,no_or_remote_homolog,ESMFold,238,238,0.6656082816966269,0.020776548286898264,238.0,-0.1746265140327698,-0.2065767470719566,-0.14344728146791033,True,all
long,R,no_or_remote_homolog,ESMFold2,238,238,0.7289845702950505,0.016134644928148596,238.0,-0.23800280263119333,-0.27004672156756765,-0.205122280280838,True,all
long,R,no_or_remote_homolog,Protenix-v2 + MSA,238,238,0.7510345648738208,0.014143356543991467,238.0,-0.2600527972099637,-0.29375889361274404,-0.22581109229113477,True,all
long,R,no_or_remote_homolog,seq-KNN k=10 (null),238,238,0.022732188753154334,0.004712299423668883,238.0,0.46824957891070274,0.43296321552680933,0.5031016334749873,True,all
all,AUC,no_or_remote_homolog,"MarinFold #199 (1.5B, seq only)",48,48,0.8560979792985556,0.012473343313611654,,,,,,natural
all,AUC,no_or_remote_homolog,Protenix-v2 single-seq,48,48,0.7355576144951951,0.0223018656369791,48.0,0.12054036480336043,0.08843239022626999,0.1526637958083636,True,natural
all,AUC,no_or_remote_homolog,ESMFold,48,48,0.7251042858740963,0.025707497394908428,48.0,0.13099369342445918,0.0975667240403057,0.16474462382378216,True,natural
all,AUC,no_or_remote_homolog,ESMFold2,48,48,0.7737741870777487,0.022412338212047994,48.0,0.08232379222080667,0.05410243277073432,0.11169930026482285,True,natural
